year,team,conference,poll_week,rank,rank_numeric,table_id
2010,Baylor,Big 12,2/1,15.0,15,1
2010,St. John's (NY),Big East,2/1,25.0,25,1
2010,Iowa State,Big 12,2/1,22.0,22,1
2010,Texas,Big 12,2/1,17.0,17,1
2010,Gonzaga,WCC,2/1,24.0,24,1
2010,Kentucky,SEC,2/1,20.0,20,1
2010,Oklahoma State,Big 12,2/1,10.0,10,1
2010,LSU,SEC,2/1,19.0,19,1
2010,Georgia,SEC,2/1,14.0,14,1
2010,Georgia Tech,ACC,2/1,21.0,21,1
2010,UNC,ACC,2/1,9.0,9,1
2010,Green Bay,Horizon,2/1,23.0,23,1
2010,UConn,Big East,2/8,1.0,1,1
2010,Stanford,Pac-10,2/8,2.0,2,1
2010,Tennessee,SEC,2/8,5.0,5,1
2010,Nebraska,Big 12,2/8,3.0,3,1
2010,Xavier,A-10,2/8,6.0,6,1
2010,Duke,ACC,2/8,8.0,8,1
2010,Notre Dame,Big East,2/8,4.0,4,1
2010,Ohio State,Big Ten,2/8,7.0,7,1
2010,Texas A&M,Big 12,2/8,13.0,13,1
2010,West Virginia,Big East,2/8,9.0,9,1
2010,Florida State,ACC,2/8,10.0,10,1
2010,Oklahoma,Big 12,2/8,12.0,12,1
2010,Georgetown,Big East,2/8,16.0,16,1
2010,Baylor,Big 12,2/8,11.0,11,1
2010,St. John's (NY),Big East,2/8,25.0,25,1
2010,Iowa State,Big 12,2/8,20.0,20,1
2010,Texas,Big 12,2/8,14.0,14,1
2010,Gonzaga,WCC,2/8,22.0,22,1
2010,Kentucky,SEC,2/8,17.0,17,1
2010,Oklahoma State,Big 12,2/8,15.0,15,1
2010,LSU,SEC,2/8,23.0,23,1
2010,Georgia,SEC,2/8,19.0,19,1
2010,Georgia Tech,ACC,2/8,21.0,21,1
2010,TCU,MWC,2/8,24.0,24,1
2010,UNC,ACC,2/8,18.0,18,1
2010,UConn,Big East,2/15,1.0,1,1
2010,Stanford,Pac-10,2/15,2.0,2,1
2010,Tennessee,SEC,2/15,5.0,5,1
2010,Nebraska,Big 12,2/15,3.0,3,1
2010,Xavier,A-10,2/15,6.0,6,1
2010,Duke,ACC,2/15,8.0,8,1
2010,Notre Dame,Big East,2/15,4.0,4,1
2010,Ohio State,Big Ten,2/15,7.0,7,1
2010,Texas A&M,Big 12,2/15,15.0,15,1
2010,West Virginia,Big East,2/15,9.0,9,1
2010,Florida State,ACC,2/15,10.0,10,1
2010,Oklahoma,Big 12,2/15,11.0,11,1
2010,Georgetown,Big East,2/15,14.0,14,1
2010,Baylor,Big 12,2/15,18.0,18,1
2010,St. John's (NY),Big East,2/15,22.0,22,1
2010,Iowa State,Big 12,2/15,13.0,13,1
2010,Texas,Big 12,2/15,12.0,12,1
2010,Gonzaga,WCC,2/15,21.0,21,1
2010,Kentucky,SEC,2/15,16.0,16,1
2010,Oklahoma State,Big 12,2/15,17.0,17,1
2010,LSU,SEC,2/15,23.0,23,1
2010,Georgia,SEC,2/15,20.0,20,1
2010,Georgia Tech,ACC,2/15,19.0,19,1
2010,TCU,MWC,2/15,23.0,23,1
2010,Vanderbilt,SEC,2/15,25.0,25,1
2010,UConn,Big East,2/22,1.0,1,1
2010,Stanford,Pac-10,2/22,2.0,2,1
2010,Tennessee,SEC,2/22,4.0,4,1
2010,Nebraska,Big 12,2/22,3.0,3,1
2010,Xavier,A-10,2/22,5.0,5,1
2010,Duke,ACC,2/22,6.0,6,1
2010,Notre Dame,Big East,2/22,7.0,7,1
2010,Ohio State,Big Ten,2/22,10.0,10,1
2010,Texas A&M,Big 12,2/22,12.0,12,1
2010,West Virginia,Big East,2/22,8.0,8,1
2010,Florida State,ACC,2/22,9.0,9,1
2010,Oklahoma,Big 12,2/22,11.0,11,1
2010,Georgetown,Big East,2/22,13.0,13,1
2010,Baylor,Big 12,2/22,17.0,17,1
2010,St. John's (NY),Big East,2/22,18.0,18,1
2010,Iowa State,Big 12,2/22,15.0,15,1
2010,Texas,Big 12,2/22,14.0,14,1
