School,Conf,Pre,11/11,11/18,11/25,12/2,12/9,12/16,12/23,12/30,1/6,1/13,1/20,1/27,2/3,2/10,2/17,2/24,3/3,3/10,3/17,Post,year,table_number,11/13,11/20,11/27,12/4,12/11,12/18,12/25,1/1,1/8,1/15,1/22,1/29,2/5,2/12,2/19,2/26,3/4,3/11,3/18,11/14,11/21,11/28,12/5,12/13,12/19,12/26,1/2,1/9,1/16,1/23,1/30,2/6,2/13,2/20,2/28,Final,11/15,11/23,11/29,12/6,12/20,12/27,1/3,1/10,1/17,1/24,1/31,2/7,2/14,2/21,3/7,11/30,12/7,12/14,12/21,12/28,1/4,1/11,1/18,1/25,2/1,2/8,2/15,2/22,3/1,3/8,3/2,11/12,11/19,11/26,12/3,12/10,12/17,12/24,12/31,1/7,1/14,1/21,1/28,2/4,2/11,2/18,2/25,3/5,12/12,2/27,3/6,11/16,2/29,11/17,11/24,12/1,12/8,12/15,12/22,12/29,1/5,1/12,1/19,1/26,2/2,2/9,2/16,2/23,3/9,11/22
Texas A&M,SEC,13,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,12,10,10,9,9,8,7,8,8,7,6,5,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor,Big 12,4,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,4,7,7,7,7,6,6,9,9,8,7,7,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,SEC,1,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,4,4,2,1,2,5,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,Big Ten,12,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,14,14,14,14,14,12,9,7,7,10,9,9,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisville,ACC,5,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,5,2,2,2,2,2,2,1,1,1,3,3,6,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCLA,Pac-12,9,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,9,11,11,10,11,9,8,6,5,5,8,8,10,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,SEC,,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,22,22,25,24,22,17,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,Pac-12,7,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,7,6,6,6,6,7,11,10,10,9,10,10,9,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,Big Ten,16,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,13,15,15,19,20,19,18,16,16,17,15,14,11,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,SEC,,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,23,25,20,18,16,21,20,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzaga,WCC,21,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,18,25,25,23,23,21,20,20,18,19,17,16,21,18,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,SEC,14,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,16,13,12,11,10,13,17,15,19,16,18,18,16,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Big Ten,25,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,24,19,19,17,16,15,13,11,12,13,12,11,12,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,Big 12,,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,24,21,19,19,18,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,SEC,11,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,11,9,9,13,13,10,12,12,15,15,20,17,19,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Florida,AAC,,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,23,20,21,18,16,14,13,14,14,12,13,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri State,MVC,24,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,21,21,20,24,24,25,,,,,25,25,23,23,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutgers,Big Ten,,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,24,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio State,Big Ten,20,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,19,18,17,16,17,16,15,17,14,11,12,15,15,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,Pac-12,10,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,10,8,8,8,8,11,10,13,11,12,11,13,14,19,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Gulf Coast,A-Sun,,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota State,Summit,,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,22,,,,,,,25,23,23,23,22,21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DePaul,Big East,19,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,24,24,18,18,20,19,18,17,20,22,19,24,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwestern,Big Ten,17,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,17,16,15,15,22,22,21,23,22,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi State,SEC,6,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,13,12,12,14,14,19,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syracuse,ACC,23,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,20,18,22,22,24,24,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,Big 12,15,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,Big 12,,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,23,22,20,19,17,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington State,Pac-12,,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan State,Big Ten,,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon State,Pac-12,18,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,15,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notre Dame,ACC,22,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,SEC,8,6,5,5,6,5,5,4,4,4,1,1,1,1,1,1,1,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,Pac-12,1,1,1,1,3,3,3,2,2,2,6,4,3,3,3,3,3,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor,Big 12,2,2,2,2,7,6,7,6,6,6,2,2,2,2,2,2,2,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,Big Ten,4,8,9,9,9,13,13,12,12,17,20,20,17,13,10,7,7,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UConn,AAC,5,4,4,4,4,2,2,1,1,1,4,3,4,4,5,6,6,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisville,ACC,9,9,8,8,2,7,6,7,7,7,5,5,5,5,9,5,5,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanford,Pac-12,3,3,3,3,1,1,1,5,5,5,3,6,6,6,8,4,4,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC State,ACC,14,14,14,13,13,9,9,9,9,9,9,8,7,7,4,10,8,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi State,SEC,10,10,10,10,10,15,15,15,15,13,10,9,9,8,6,9,10,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCLA,Pac-12,11,11,11,11,11,10,10,10,10,8,7,10,8,10,7,8,9,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwestern,Big Ten,,,,,,,,,,,,22,23,21,19,18,14,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,Pac-12,,,,24,,18,18,18,18,18,21,18,16,12,12,11,13,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzaga,WCC,,,23,22,18,17,17,17,17,16,16,13,12,11,15,13,11,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon State,Pac-12,7,7,7,7,5,4,4,3,3,3,8,7,10,9,11,15,17,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DePaul,Big East,18,18,19,16,16,16,16,16,16,15,14,11,11,14,13,12,16,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,SEC,13,13,13,14,15,14,14,13,13,14,11,12,13,15,18,14,15,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,Summit,,,,,,,25,,,22,25,24,21,22,21,20,20,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,SEC,6,5,6,6,12,11,11,11,11,10,12,15,15,16,16,16,12,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,ACC,12,12,12,12,8,8,8,8,8,11,13,14,14,17,14,17,19,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,Big Ten,24,21,18,17,14,12,12,14,14,12,15,17,20,18,20,24,22,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,Big Ten,,,,,,,,,,,22,19,18,20,17,19,18,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Princeton,Ivy,,,,,,,,,,25,,,,,,25,23,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri State,MVC,,,,,22,20,20,21,21,20,19,,24,24,24,23,,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,SEC,22,23,20,25,23,21,21,20,20,21,23,21,25,25,23,22,,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona State,Pac-12,20,19,,,20,,,,,,18,16,19,19,22,21,24,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,SEC,,,,,,,,,,,,,,,,,21,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCU,Big 12,,,,,,,,,,,,,,,,,25,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,SEC,,,23,20,17,23,23,22,22,23,24,23,22,23,25,,,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,Big 12,,,25,23,,22,22,19,19,19,17,25,,,,,,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Big Ten,25,,21,,24,24,24,23,,24,,,,,,,,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami (OH),MAC,,,,,,,,,23,,,,,,,,,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,Big Ten,23,24,,,,,,,24,,,,,,,,,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,Big 12,15,22,,,,,,25,25,,,,,,,,,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami (FL),ACC,18,17,16,19,21,25,,24,,,,,,,,,,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan State,Big Ten,17,16,15,15,19,19,19,,,,,,,,,,,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSU,SEC,,,,,25,,,,,,,,,,,,,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syracuse,ACC,21,20,17,18,,,,,,,,,,,,,,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Florida,AAC,,25,22,21,,,,,,,,,,,,,,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notre Dame,ACC,16,15,,,,,,,,,,,,,,,,,,,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor,Big 12,4,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,3,6,7,8,4,2,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
UConn,AAC,2,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,1,1,1,3,2,3,2,5,4,3,2,,,,,,,,,,,,,,,,,,,,,,,
Notre Dame,ACC,1,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,2,1,1,1,5,4,6,5,4,,,,,,,,,,,,,,,,,,,,,,,
Mississippi State,SEC,6,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,5,4,8,7,7,7,7,6,6,5,6,5,,,,,,,,,,,,,,,,,,,,,,,
Louisville,ACC,5,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,4,3,3,3,2,4,4,3,2,2,4,3,,,,,,,,,,,,,,,,,,,,,,,
Stanford,Pac-12,7,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,8,11,11,8,6,6,6,6,6,8,11,10,7,7,,,,,,,,,,,,,,,,,,,,,,,
Oregon,Pac-12,3,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,7,7,5,5,5,5,5,4,3,3,2,6,,,,,,,,,,,,,,,,,,,,,,,
Iowa,Big Ten,13,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,14,16,16,16,16,19,17,22,17,13,16,14,10,12,,,,,,,,,,,,,,,,,,,,,,,
Maryland,Big Ten,9,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,7,7,6,5,4,4,9,9,11,11,10,7,8,8,,,,,,,,,,,,,,,,,,,,,,,
NC State,ACC,17,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,15,13,10,10,10,9,9,8,8,8,7,9,12,9,10,,,,,,,,,,,,,,,,,,,,,,,
Oregon State,Pac-12,8,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,9,8,8,11,11,11,10,10,9,9,7,9,12,9,,,,,,,,,,,,,,,,,,,,,,,
Gonzaga,WCC,,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,21,21,20,17,14,13,18,15,13,13,15,16,,,,,,,,,,,,,,,,,,,,,,,
Marquette,Big East,19,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,22,22,18,19,19,22,20,15,14,10,10,8,8,11,13,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,Big 12,,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,25,20,18,20,23,22,18,20,20,,,,,,,,,,,,,,,,,,,,,,,
Syracuse,ACC,18,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,14,12,15,15,15,15,14,12,12,13,18,15,16,18,17,,,,,,,,,,,,,,,,,,,,,,,
