SEASON_YEARS,SEASON,RECRUITING_YEAR,ESPNW_PLAYER_RECRUIT_RANK,PLAYER_NAME,ESPN_GRADE,TEAM,POS,HEIGHT_FEET,HEIGHT_INCHES,HIGH_SCHOOL_FULL,HIGH_SCHOOL,HOMETOWN_STATE
2024-2025,2025,2024,24,Tajianna Avant-Roberts,96,Louisville,G,5,10,IMG Academy (FL),IMG Academy ,IMG
2024-2025,2025,2024,25,Britt Prince,96,Nebraska,PG,5,11,Elkhorn North H.S. (NE),Elkhorn North H.S. ,NE
2024-2025,2025,2024,26,Avary Cain,96,UCLA,G,6,1,Saint Joseph H.S. (CA),Saint Joseph H.S. ,CA
2024-2025,2025,2024,27,Kiyomi McMiller,96,Rutgers,PG,5,9,Life Center Academy (NJ),Life Center Academy ,NJ
2024-2025,2025,2024,28,Adhel Tac,96,South Carolina,P,6,5,South Grand Prairie H.S. (TX),South Grand Prairie H.S. ,TX
2024-2025,2025,2024,29,Danielle Carnegie,95,Georgia Tech,G,5,8,Grayson H.S. (GA),Grayson H.S. ,GA
2024-2025,2025,2024,30,Zania Socka-Nguemen,95,UCLA,F,6,3,Sidwell Friends School (DC),Sidwell Friends School ,DC
2024-2025,2025,2024,31,Me'Arah O'Neal,95,Florida,P,6,3,Episcopal H.S. (TX),Episcopal H.S. ,TX
2024-2025,2025,2024,32,Blanca Thomas,95,North Carolina,P,6,5,Charlotte Catholic H.S. (NC),Charlotte Catholic H.S. ,NC
2024-2025,2025,2024,33,Leah Harmon,95,Miami,PG,5,6,IMG Academy (FL),IMG Academy ,IMG
2024-2025,2025,2024,34,Katie Fiso,95,Oregon,PG,5,11,Garfield H.S. (WA),Garfield H.S. ,WA
2024-2025,2025,2024,35,Kyndal Walker,95,Maryland,PG,5,9,Saint Johns College H.S. (MD),Saint Johns College H.S. ,MD
2024-2025,2025,2024,36,Eris Lester,95,Alabama,G,5,11,Montverde Academy (FL),Montverde Academy ,FL
2024-2025,2025,2024,37,Kaniya Boyd,95,Tennessee,G,5,9,Centennial H.S. (NV),Centennial H.S. ,NV
2024-2025,2025,2024,38,Bryanna Preston,95,Texas,PG,5,9,Wesleyan School (GA),Wesleyan School ,GA
2024-2025,2025,2024,39,Devin Coppinger,95,Washington,G,5,10,Nooksack Valley H.S. (WA),Nooksack Valley H.S. ,WA
2024-2025,2025,2024,40,Alexandra Blue,95,Kentucky,W,6,2,Lake Highland Prep (FL),Lake Highland Prep ,FL
2024-2025,2025,2024,41,Ahnay Adams,95,Miami,PG,5,6,Tilton School (NH),Tilton School ,NH
2024-2025,2025,2024,42,Ava Heiden,95,Iowa,P,6,4,Sherwood H.S. (OR),Sherwood H.S. ,OR
2024-2025,2025,2024,43,Tahj Bloom,94,Mississippi State,F,6,3,DME Academy (FL),DME Academy ,FL
2024-2025,2025,2024,44,Ume Kennedy,94,Stanford,F,6,3,McDonough H.S. (MD),McDonough H.S. ,MD
2024-2025,2025,2024,45,Breanna Williams,94,Maryland,F,6,2,Skyview H.S. (MT),Skyview H.S. ,MT
2024-2025,2025,2024,46,Zya Vann,94,Oklahoma,G,5,9,Bethany H.S. (OK),Bethany H.S. ,OK
2024-2025,2025,2024,47,Vivian Iwuchukwu,94,USC,F,6,3,Montverde Academy (FL),Montverde Academy ,FL
2024-2025,2025,2024,48,Tabitha Betson,94,Colorado,W,6,2,DME Academy (FL),DME Academy ,DME
2024-2025,2025,2024,49,Chazadi Wright,94,Georgia Tech,PG,5,4,Wesleyan School (GA),Wesleyan School ,GA
2024-2025,2025,2024,50,Devyn Quigley,94,NC State,W,5,11,Manchester Township H.S. (NJ),Manchester Township H.S. ,NJ
2024-2025,2025,2024,51,Kayla Nelms,94,Baylor,F,6,1,Miami Country Day School (FL),Miami Country Day School ,FL
2024-2025,2025,2024,52,Ava Watson,94,Ohio State,PG,5,8,Buford H.S. (GA),Buford H.S. ,GA
2024-2025,2025,2024,53,Wrenwyck Ijiwoye,94,Stanford,PG,5,6,Desert Vista H.S. (AZ),Desert Vista H.S. ,AZ
2024-2025,2025,2024,54,Rian Forestier,94,USC,G,5,11,Brandeis H.S. (TX),Brandeis H.S. ,TX
2024-2025,2025,2024,55,Xamiya Walton,94,Northwestern,PG,5,5,Butler College Prep (IL),Butler College Prep ,IL
2024-2025,2025,2024,56,Kamryn Mafua,94,California,F,6,2,Folsom H.S. (CA),Folsom H.S. ,CA
2024-2025,2025,2024,57,Jordyn Poole,94,Purdue,PG,5,7,R. Nelson Snider H.S. (IN),R. Nelson Snider H.S. ,IN
2024-2025,2025,2024,58,Aaliyah Guyton,94,Iowa,G,5,8,Peoria H.S. (IL),Peoria H.S. ,IL
2024-2025,2025,2024,59,Lanie Grant,94,North Carolina,PG,5,9,James River H.S. (VA),James River H.S. ,VA
2024-2025,2025,2024,60,Taliyah Parker,94,Texas A&M,G,6,1,South Grand Prairie H.S. (TX),South Grand Prairie H.S. ,TX
2024-2025,2025,2024,61,Faith Wiseman,93,Indiana,F,6,3,Indian Creek H.S. (IN),Indian Creek H.S. ,IN
2024-2025,2025,2024,62,Juliann Woodard,93,Michigan State,F,6,0,Jennings County H.S. (IN),Jennings County H.S. ,IN
2024-2025,2025,2024,63,McKenna Johnson,93,Minnesota,G,5,9,Wilmot Union H.S. (WI),Wilmot Union H.S. ,WI
2024-2025,2025,2024,64,Kalysta Martin,93,Texas Tech,G,6,1,Providence Catholic School (TX),Providence Catholic School ,TX
2024-2025,2025,2024,65,Teagan Mallegni,93,Iowa,G,6,0,McFarland H.S. (WI),McFarland H.S. ,WI
2024-2025,2025,2024,66,Athena Tomlinson,93,Boston College,PG,5,5,Clovis West H.S. (CA),Clovis West H.S. ,CA
2024-2025,2025,2024,67,Indya Davis,93,Georgia,G,5,9,West Bloomfield H.S. (MI),West Bloomfield H.S. ,MI
2024-2025,2025,2024,68,Kayl Peterson,93,Virginia Tech,W,6,0,Waupun H.S. (WI),Waupun H.S. ,WI
2024-2025,2025,2024,69,Jordan Zubich,93,North Carolina,G,5,11,Mountain Iron-Buhl H.S.,Mountain Iron-Buhl H.S.,
2024-2025,2025,2024,70,Brooke Walker,93,Utah,PG,5,8,Andover H.S. (KS),Andover H.S. ,KS
2024-2025,2025,2024,71,Jamia Woolfolk,93,Georgia,F,6,3,Manchester H.S. (VA),Manchester H.S. ,VA
2024-2025,2025,2024,72,Caya Smith,93,Oklahoma,W,5,11,Putnam City West H.S. (OK),Putnam City West H.S. ,OK
2024-2025,2025,2024,73,Ines Goryanova,93,Baylor,PG,5,8,DME Academy (FL),DME Academy ,DME
2024-2025,2025,2024,74,Trinity Turner,93,Georgia,PG,5,6,Dr. Phillips H.S. (FL),Dr. Phillips H.S. ,FL
2024-2025,2025,2024,75,Roisin Grandberry,92,Loyola Chicago,F,6,3,Rolling Meadows H.S. (IL),Rolling Meadows H.S. ,IL
2024-2025,2025,2024,76,Zahra King,92,California,G,5,10,Westtown School (PA),Westtown School ,PA
2024-2025,2025,2024,77,Delaney Gibb,92,BYU,PG,5,10,Raymond H.S. (CAN),Raymond H.S. ,CAN
2024-2025,2025,2024,78,Destiny Agubata,92,West Virginia,W,6,0,Santiago H.S. (CA),Santiago H.S. ,CA
2024-2025,2025,2024,79,Jordan Thomas,92,West Virginia,P,6,3,Hebron H.S. (TX),Hebron H.S. ,TX
2024-2025,2025,2024,80,Janessa Cotton,92,Duke,W,6,2,Mater Dei H.S. (CA),Mater Dei H.S. ,CA
2024-2025,2025,2024,81,Lauryn Swann,92,Arizona,PG,5,7,Long Island Lutheran H.S. (NY),Long Island Lutheran H.S. ,NY
2024-2025,2025,2024,82,Tianna Thompson,92,Georgia Tech,G,5,10,The Galloway School (GA),The Galloway School ,GA
2024-2025,2025,2024,83,Katie Vasecka,92,South Dakota State,W,6,2,Tea H.S.,Tea H.S.,
2024-2025,2025,2024,84,Grace Oliver,92,Colorado,W,6,1,Noble & Greenough School (MA),Noble & Greenough School ,MA
2024-2025,2025,2024,85,Keira Scott,92,Syracuse,W,6,2,DME Academy (FL),DME Academy ,DME
2024-2025,2025,2024,86,Taylor Barner,92,Memphis,PG,5,8,Panther Creek H.S. (NC),Panther Creek H.S. ,NC
2024-2025,2025,2024,87,Harper Peterson,92,Stanford,F,6,3,Whitney H.S. (CA),Whitney H.S. ,CA
2024-2025,2025,2024,88,Izela Arenas,92,Louisville,G,5,9,Sierra Canyon H.S. (CA),Sierra Canyon H.S. ,CA
2024-2025,2025,2024,89,Teagan Colvin,92,UNLV,PG,5,7,Coeur D'Alene H.S. (ID),Coeur D'Alene H.S. ,ID
2024-2025,2025,2024,90,Jada Richard,92,LSU,PG,5,6,Lafayette Christian Academy (LA),Lafayette Christian Academy ,LA
2024-2025,2025,2024,91,Jadyn Wooten,92,Oklahoma State,PG,5,5,Blue Valley H.S. (KS),Blue Valley H.S. ,KS
2024-2025,2025,2024,92,Laura Williams,91,USC,F,6,1,Paul VI H.S. (VA),Paul VI H.S. ,VI
2024-2025,2025,2024,93,Sinai Douglas,91,Michigan State,PG,5,5,Start H.S. (OH),Start H.S. ,OH
2024-2025,2025,2024,94,Taylor Stremlow,91,Iowa,G,5,8,Verona H.S. (WI),Verona H.S. ,WI
2024-2025,2025,2024,95,Ella Hobbs,91,Ohio State,F,6,4,1 of 1 Academy (NC),1 of 1 Academy ,NC
2024-2025,2025,2024,96,Summer Davis,91,Georgia,PG,5,9,West Bloomfield H.S. (MI),West Bloomfield H.S. ,MI
2024-2025,2025,2024,97,Jasmine Bascoe,91,Villanova,PG,5,7,King's Christian Collegiate (CAN),King's Christian Collegiate ,CAN
2024-2025,2025,2024,98,Hana Belibi,91,Harvard,W,6,0,Regis Jesuit H.S. (CO),Regis Jesuit H.S. ,CO
2024-2025,2025,2024,99,Breona Hurd,91,Virginia,F,6,1,Waynesville H.S. (MO),Waynesville H.S. ,MO
2024-2025,2025,2024,100,Ariel Little,91,St. John's,PG,5,4,South Shore H.S. (NY),#REF!,NY
2023-2024,2024,2023,1,Judea Watkins,98,USC,G,6,0,Sierra Canyon H.S. (CA),Sierra Canyon H.S. ,CA
2023-2024,2024,2023,2,Mikaylah Williams,98,LSU,G,6,0,Parkway H.S. (LA),Parkway H.S. ,LA
2023-2024,2024,2023,3,Jadyn Donovan,97,Duke,G,6,0,Sidwell Friends School (DC),Sidwell Friends School ,DC
2023-2024,2024,2023,4,Ciera Toomey,97,North Carolina,P,6,3,Dunmore H.S. (PA),Dunmore H.S. ,PA
2023-2024,2024,2023,5,Hannah Hidalgo,97,Notre Dame,PG,5,6,Paul VI H.S. (NJ),Paul VI H.S. ,VI
2023-2024,2024,2023,6,Kamorea Arnold,97,UConn,PG,5,9,Germantown H.S. (WI),Germantown H.S. ,WI
2023-2024,2024,2023,7,Aalyah Del Rosario,97,LSU,P,6,5,The Webb School,The Webb School,
2023-2024,2024,2023,8,Montaya Dew,97,Arizona,F,6,2,Centennial H.S. (NV),Centennial H.S. ,NV
2023-2024,2024,2023,9,Zoe Brooks,97,NC State,G,5,10,Saint John Vianney High (NJ),Saint John Vianney High ,NJ
2023-2024,2024,2023,10,Courtney Ogden,97,Stanford,W,5,11,Westminster School (GA),Westminster School ,GA
2023-2024,2024,2023,11,Taliah Scott,97,Arkansas,G,5,9,Saint John's Country Day School (FL),Saint John's Country Day School ,FL
