team,season,conference,portal_in_count,portal_out_count,top_recruit_rank,avg_espn_grade,n_top10_recruits,n_top25_recruits,n_top50_recruits,n_recruits,recruit_star_index,n_guards,n_wings_forwards,n_bigs,avg_height_inches,ap_rank_preseason,ap_rank_peak,ap_rank_final,weeks_in_top25,peak_streak,wins,losses,win_pct,net_rating
Purdue,2026,,,,63.0,93.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,77.0,,,,,,13.0,17.0,0.433,
Richmond,2026,A10,,,,,,,,,,,,,,24.0,,,1.0,1.0,26.0,7.0,0.788,
South Carolina,2026,SEC,,,6.0,96.5,1.0,2.0,2.0,2.0,9.0,0.0,2.0,0.0,73.5,2.0,2.0,,17.0,17.0,31.0,3.0,0.912,
Stanford,2026,,,,8.0,95.25,1.0,3.0,3.0,4.0,12.0,1.0,3.0,0.0,74.2,,,,,,19.0,13.0,0.594,
Syracuse,2026,,,,60.0,93.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,73.0,,,,,,23.0,8.0,0.742,
TCU,2026,Big 12,,,,,,,,,,,,,,17.0,8.0,,17.0,17.0,29.0,5.0,0.853,
Tennessee,2026,SEC,,,9.0,95.2,1.0,3.0,4.0,5.0,13.0,3.0,2.0,0.0,69.8,8.0,12.0,,15.0,15.0,16.0,13.0,0.552,
Texas,2026,SEC,,,5.0,97.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,73.0,4.0,2.0,,17.0,17.0,31.0,3.0,0.912,
Texas Tech,2026,Big 12,,,,,,,,,,,,,,26.0,16.0,,10.0,10.0,25.0,7.0,0.781,
UCLA,2026,Big Ten,,,2.0,98.0,1.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,76.0,3.0,2.0,,17.0,17.0,31.0,1.0,0.969,
UConn,2026,Big East,,,25.0,94.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,73.0,1.0,1.0,,17.0,17.0,34.0,0.0,1.0,
UNC,2026,ACC,,,13.0,95.0,0.0,1.0,2.0,3.0,4.0,1.0,2.0,0.0,72.7,11.0,11.0,,14.0,9.0,26.0,7.0,0.788,
USC,2026,Big Ten,,,1.0,98.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,73.0,18.0,8.0,,9.0,9.0,17.0,13.0,0.567,
Utah,2026,,,,28.0,95.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,69.0,,,,,,19.0,12.0,0.613,
Vanderbilt,2026,SEC,,,,,,,,,,,,,,19.0,5.0,,17.0,17.0,27.0,4.0,0.871,
Villanova,2026,,,,79.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,72.0,,,,,,25.0,7.0,0.781,
Virginia,2026,,,,94.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,19.0,11.0,0.633,
Virginia Tech,2026,,,,74.0,92.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,71.5,,,,,,23.0,9.0,0.719,
Washington,2026,Big Ten,,,14.0,94.5,0.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,73.5,26.0,20.0,,11.0,6.0,21.0,10.0,0.677,
West Virginia,2026,Big 12,,,88.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,71.0,26.0,15.0,,10.0,7.0,27.0,6.0,0.818,
,2026,,,,69.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,72.0,,,,,,,,,
Arizona,2027,,,,60.0,93.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,
Arizona State,2027,,,,54.0,94.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,
Arkansas,2027,,,,49.0,94.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,
Auburn,2027,,,,72.0,92.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,,,,,,,,,,
Clemson,2027,,,,11.0,94.75,0.0,1.0,4.0,4.0,6.0,2.0,2.0,0.0,,,,,,,,,,
Columbia,2027,,,,84.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,
Duke,2027,,,,12.0,95.25,0.0,3.0,4.0,4.0,10.0,3.0,0.0,1.0,,,,,,,,,,
East Carolina,2027,,,,96.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,
FSU,2027,,,,21.0,94.33,0.0,1.0,2.0,3.0,4.0,1.0,2.0,0.0,,,,,,,,,,
Florida,2027,,,,48.0,94.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,,,,,,,,,,
Florida Atlantic,2027,,,,89.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,
Grand Canyon,2027,,,,76.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,
Illinois State,2027,,,,66.0,93.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,
Indiana,2027,,,,28.0,94.33,0.0,0.0,2.0,3.0,2.0,2.0,1.0,0.0,,,,,,,,,,
Iowa,2027,,,,6.0,97.0,1.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,,,,,,,,,,
Kansas,2027,,,,33.0,93.5,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,,,,,,,,,,
Kentucky,2027,,,,13.0,95.33,0.0,3.0,3.0,3.0,9.0,2.0,1.0,0.0,,,,,,,,,,
LSU,2027,,,,29.0,95.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,
Louisville,2027,,,,34.0,94.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,,,,,,,,,,
Maryland,2027,,,,7.0,95.5,1.0,1.0,2.0,2.0,7.0,1.0,1.0,0.0,,,,,,,,,,
Michigan,2027,,,,45.0,93.5,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,,,,,,,,,,
Michigan State,2027,,,,15.0,96.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,,,,,,,,,,
Middle Tennessee,2027,,,,73.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,
Minnesota,2027,,,,40.0,93.5,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,,,,,,,,,,
Mississippi State,2027,,,,75.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,
Missouri,2027,,,,79.0,91.5,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,,,,,,,,,,
NC State,2027,,,,38.0,92.5,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,,,,,,,,,,
Nebraska,2027,,,,22.0,92.67,0.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,,,,,,,,,,
Northwestern,2027,,,,97.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,
Notre Dame,2027,,,,9.0,94.4,1.0,2.0,4.0,5.0,11.0,1.0,4.0,0.0,,,,,,,,,,
Ohio State,2027,,,,74.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,
Oklahoma,2027,,,,36.0,93.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,,,,,,,,,,
Oregon,2027,,,,26.0,94.5,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,,,,,,,,,,
Oregon State,2027,,,,83.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,
Penn State,2027,,,,51.0,94.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,
Richmond,2027,,,,80.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,
SMU,2027,,,,78.0,91.5,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,,,,,,,,,,
Seton Hall,2027,,,,87.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,
South Carolina,2027,,,,5.0,96.0,1.0,3.0,3.0,3.0,12.0,1.0,2.0,0.0,,,,,,,,,,
St. John's (NY),2027,,,,99.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,
Stanford,2027,,,,86.0,91.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,
Tennessee,2027,,,,2.0,95.5,1.0,1.0,1.0,2.0,6.0,0.0,2.0,0.0,,,,,,,,,,
Texas,2027,,,,8.0,95.5,2.0,3.0,3.0,4.0,15.0,2.0,2.0,0.0,,,,,,,,,,
Texas A&M,2027,,,,44.0,93.5,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,,,,,,,,,,
Texas Tech,2027,,,,67.0,92.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,
UC Santa Barbara,2027,,,,55.0,93.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,
UConn,2027,,,,3.0,98.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,1.0,,,,,,,,,,
UNC,2027,,,,4.0,96.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,0.0,,,,,,,,,,
UNLV,2027,,,,85.0,91.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,
USC,2027,,,,1.0,98.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,,,,,,,,,,
Utah,2027,,,,65.0,92.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,,,,,,,,,,
Vanderbilt,2027,,,,14.0,95.5,0.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,,,,,,,,,,
Virginia Tech,2027,,,,70.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,
Washington,2027,,,,46.0,94.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,
Wisconsin,2027,,,,47.0,94.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,
,2027,,,,90.0,91.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,,,,,,,,,
