team,season,conference,portal_in_count,portal_out_count,top_recruit_rank,avg_espn_grade,n_top10_recruits,n_top25_recruits,n_top50_recruits,n_recruits,recruit_star_index,n_guards,n_wings_forwards,n_bigs,avg_height_inches,ap_rank_preseason,ap_rank_peak,ap_rank_final,weeks_in_top25,peak_streak,wins,losses,win_pct,net_rating
NC State,2022,ACC,,,36.0,92.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,73.0,5.0,2.0,3.0,19.0,19.0,32.0,4.0,0.889,
Nebraska,2022,,,,49.0,92.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,71.5,,,,,,24.0,9.0,0.727,
Northwestern,2022,,,,35.0,93.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,1.0,72.0,,,,,,17.0,12.0,0.586,
Notre Dame,2022,ACC,,,8.0,96.0,1.0,2.0,2.0,2.0,9.0,2.0,0.0,0.0,71.5,,14.0,21.0,16.0,16.0,25.0,9.0,0.735,
Ohio State,2022,Big Ten,,,,,,,,,,,,,,17.0,13.0,14.0,16.0,16.0,25.0,7.0,0.781,
Oklahoma,2022,Big 12,,,66.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,66.0,,12.0,22.0,11.0,11.0,25.0,9.0,0.735,
Oklahoma State,2022,,,,88.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,9.0,20.0,0.31,
Ole Miss,2022,SEC,,,,,,,,,,,,,,,24.0,,1.0,1.0,23.0,9.0,0.719,
Oregon,2022,Pac 12,,,29.0,94.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,73.0,10.0,9.0,,8.0,8.0,21.0,12.0,0.636,
Oregon State,2022,Pac 12,,,25.0,93.33,0.0,1.0,2.0,3.0,4.0,2.0,1.0,0.0,71.7,14.0,15.0,,5.0,5.0,17.0,14.0,0.548,
Princeton,2022,Ivy,,,,,,,,,,,,,,,24.0,25.0,2.0,2.0,25.0,5.0,0.833,
Purdue,2022,,,,93.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,17.0,15.0,0.531,
Rutgers,2022,,,,77.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,68.0,,,,,,11.0,20.0,0.355,
San Diego State,2022,,,,83.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,71.0,,,,,,15.0,16.0,0.484,
South Carolina,2022,SEC,,,2.0,97.5,3.0,4.0,4.0,4.0,21.0,3.0,1.0,0.0,71.5,1.0,1.0,1.0,19.0,19.0,35.0,2.0,0.946,
South Florida,2022,AAC,,,,,,,,,,,,,,21.0,13.0,,10.0,10.0,24.0,9.0,0.727,
Stanford,2022,Pac 12,,,11.0,94.33,0.0,2.0,2.0,3.0,6.0,1.0,2.0,0.0,72.7,3.0,2.0,2.0,19.0,19.0,32.0,4.0,0.889,
Syracuse,2022,,,,99.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,68.0,,,,,,11.0,18.0,0.379,
TCU,2022,,,,72.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,6.0,22.0,0.214,
Temple,2022,,,,65.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,13.0,15.0,0.464,
Tennessee,2022,SEC,,,43.0,92.33,0.0,0.0,2.0,3.0,2.0,1.0,2.0,0.0,72.7,15.0,4.0,18.0,19.0,19.0,25.0,9.0,0.735,
Texas,2022,Big 12,,,6.0,95.5,2.0,3.0,4.0,4.0,16.0,2.0,2.0,0.0,70.8,25.0,7.0,6.0,19.0,19.0,29.0,7.0,0.806,
Texas A&M,2022,SEC,,,91.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,75.0,23.0,17.0,,9.0,9.0,14.0,15.0,0.483,
Texas Tech,2022,,,,67.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,71.0,,,,,,11.0,19.0,0.367,
UCF,2022,AAC,,,84.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,25.0,24.0,2.0,2.0,26.0,4.0,0.867,
