season,team,n_recruits,top_recruit_rank,avg_espn_grade,median_espn_grade,n_top10_recruits,n_top25_recruits,n_top50_recruits,n_guards,n_wings_forwards,n_bigs,avg_height_inches,recruit_star_index
2023,Georgia,1,47.0,94.0,94.0,0,0,1,0,1,0,73.0,1
2023,Michigan,2,48.0,92.5,92.5,0,0,1,1,1,0,72.5,1
2023,Auburn,1,50.0,94.0,94.0,0,0,1,1,0,0,66.0,1
2023,California,1,51.0,94.0,94.0,0,0,0,1,0,0,72.0,0
2023,Texas Tech,1,54.0,94.0,94.0,0,0,0,1,0,0,71.0,0
2023,Penn State,1,56.0,94.0,94.0,0,0,0,1,0,0,67.0,0
2023,Rutgers,1,64.0,93.0,93.0,0,0,0,0,1,0,71.0,0
2023,Illinois,1,65.0,93.0,93.0,0,0,0,1,0,0,71.0,0
2023,UCF,1,66.0,93.0,93.0,0,0,0,0,1,0,73.0,0
2023,Indiana,1,68.0,93.0,93.0,0,0,0,1,0,0,68.0,0
2023,Kentucky,2,69.0,92.0,92.0,0,0,0,1,0,1,73.0,0
2023,East Carolina,1,70.0,93.0,93.0,0,0,0,0,1,0,74.0,0
2023,Virginia,1,72.0,92.0,92.0,0,0,0,1,0,0,67.0,0
2023,Arizona State,1,73.0,92.0,92.0,0,0,0,1,0,0,68.0,0
2023,Missouri,1,74.0,92.0,92.0,0,0,0,1,0,0,70.0,0
2023,Georgetown,1,75.0,92.0,92.0,0,0,0,1,0,0,68.0,0
2023,Marquette,1,77.0,92.0,92.0,0,0,0,1,0,0,70.0,0
2023,Michigan State,1,80.0,92.0,92.0,0,0,0,1,0,0,69.0,0
2023,Vanderbilt,2,82.0,91.0,91.0,0,0,0,1,0,1,74.0,0
2023,West Virginia,1,83.0,91.0,91.0,0,0,0,1,0,0,72.0,0
2023,Mississippi State,1,84.0,91.0,91.0,0,0,0,0,1,0,73.0,0
2023,Harvard,1,86.0,91.0,91.0,0,0,0,1,0,0,71.0,0
2023,Purdue,1,87.0,91.0,91.0,0,0,0,0,1,0,76.0,0
2023,Boston College,1,88.0,91.0,91.0,0,0,0,0,1,0,77.0,0
2023,Wisconsin,2,90.0,91.0,91.0,0,0,0,1,1,0,71.5,0
2023,Northwestern,1,91.0,91.0,91.0,0,0,0,1,0,0,69.0,0
2023,Yale,1,92.0,91.0,91.0,0,0,0,1,0,0,72.0,0
2023,DePaul,1,95.0,91.0,91.0,0,0,0,0,1,0,74.0,0
2023,Oklahoma,1,96.0,91.0,91.0,0,0,0,0,0,1,75.0,0
2023,Pittsburgh,1,98.0,91.0,91.0,0,0,0,1,0,0,70.0,0
2023,Montana,1,100.0,91.0,91.0,0,0,0,1,0,0,69.0,0
2024,USC,2,1.0,96.0,96.0,1,1,2,2,0,0,69.0,7
2024,LSU,4,2.0,95.5,95.5,2,2,3,2,1,1,72.2,13
2024,Duke,4,3.0,95.0,95.0,1,1,3,2,2,0,72.2,8
2024,UNC,3,4.0,94.67,95.0,1,1,2,1,0,2,71.7,7
2024,Notre Dame,3,5.0,96.33,96.0,1,3,3,2,1,0,71.0,12
2024,UConn,3,6.0,95.67,96.0,1,2,3,2,1,0,70.7,10
2024,Arizona,4,8.0,95.0,96.0,1,3,3,1,2,1,72.0,12
2024,NC State,4,9.0,94.0,93.0,1,1,1,2,1,1,72.5,6
2024,Stanford,3,10.0,95.33,95.0,1,1,3,2,1,0,70.3,8
2024,Arkansas,2,11.0,95.0,95.0,0,1,1,1,1,0,72.0,3
2024,Texas,2,12.0,95.0,95.0,0,1,2,1,1,0,72.0,4
2024,South Carolina,4,13.0,95.25,95.5,0,3,4,2,2,0,70.8,10
2024,Maryland,2,18.0,94.5,94.5,0,1,1,0,2,0,72.5,3
2024,Florida,1,19.0,96.0,96.0,0,1,1,1,0,0,72.0,3
2024,Alabama,3,22.0,94.33,94.0,0,1,2,1,0,2,74.0,4
2024,Oklahoma,1,23.0,96.0,96.0,0,1,1,0,1,0,70.0,3
2024,Virginia,2,24.0,95.0,95.0,0,1,2,2,0,0,70.5,4
2024,Oregon,3,26.0,94.0,94.0,0,0,2,0,3,0,73.7,2
2024,Washington,3,28.0,93.67,94.0,0,0,2,3,0,0,69.7,2
2024,Iowa State,3,31.0,94.0,94.0,0,0,2,0,2,1,74.3,2
2024,UCLA,1,32.0,95.0,95.0,0,0,1,0,0,1,76.0,1
2024,BYU,1,33.0,95.0,95.0,0,0,1,1,0,0,70.0,1
2024,Kansas,1,34.0,95.0,95.0,0,0,1,0,1,0,72.0,1
2024,Texas A&M,3,35.0,94.0,94.0,0,0,1,3,0,0,68.7,1
2024,Baylor,1,36.0,95.0,95.0,0,0,1,0,0,1,79.0,1
2024,Purdue,3,43.0,92.67,93.0,0,0,1,2,1,0,71.3,1
2024,Mississippi State,3,48.0,93.33,93.0,0,0,1,2,0,1,72.3,1
2024,Indiana,2,52.0,93.5,93.5,0,0,0,2,0,0,72.5,0
2024,Missouri,1,53.0,94.0,94.0,0,0,0,0,1,0,73.0,0
2024,Virginia Tech,4,58.0,92.5,93.0,0,0,0,2,1,1,71.2,0
2024,Michigan,3,59.0,93.0,93.0,0,0,0,3,0,0,71.7,0
2024,DePaul,1,60.0,93.0,93.0,0,0,0,1,0,0,67.0,0
2024,Vanderbilt,1,63.0,93.0,93.0,0,0,0,0,1,0,74.0,0
2024,Princeton,1,64.0,93.0,93.0,0,0,0,0,1,0,71.0,0
2024,Wake Forest,2,67.0,93.0,93.0,0,0,0,1,1,0,71.0,0
2024,Washington State,1,68.0,93.0,93.0,0,0,0,1,0,0,73.0,0
2024,Ohio State,1,70.0,93.0,93.0,0,0,0,1,0,0,66.0,0
2024,Syracuse,1,72.0,93.0,93.0,0,0,0,0,1,0,73.0,0
2024,Colorado,2,75.0,93.0,93.0,0,0,0,1,1,0,71.5,0
2024,TCU,2,81.0,92.5,92.5,0,0,0,1,1,0,70.0,0
2024,Oregon State,1,82.0,93.0,93.0,0,0,0,1,0,0,71.0,0
2024,Iowa,1,84.0,93.0,93.0,0,0,0,0,1,0,74.0,0
2024,Ole Miss,2,88.0,92.0,92.0,0,0,0,1,1,0,70.5,0
2024,Texas Tech,1,89.0,92.0,92.0,0,0,0,1,0,0,68.0,0
2024,Nebraska,1,91.0,92.0,92.0,0,0,0,1,0,0,70.0,0
2024,East Carolina,1,94.0,91.0,91.0,0,0,0,1,0,0,70.0,0
2024,Minnesota,1,98.0,91.0,91.0,0,0,0,1,0,0,70.0,0
2024,Georgia,1,100.0,91.0,91.0,0,0,0,0,1,0,73.0,0
2025,UConn,3,1.0,97.67,98.0,2,3,3,2,1,0,72.7,15
2025,Ohio State,3,2.0,94.33,94.0,1,1,1,2,1,0,70.0,6
2025,South Carolina,3,3.0,97.0,97.0,1,2,3,1,1,1,73.7,10
2025,Michigan,2,4.0,97.0,97.0,1,2,2,2,0,0,72.5,9
2025,Notre Dame,1,5.0,98.0,98.0,1,1,1,0,0,1,76.0,6
2025,USC,6,6.0,95.17,95.5,1,3,4,3,3,0,72.0,13
2025,Vanderbilt,1,8.0,98.0,98.0,1,1,1,1,0,0,72.0,6
2025,Texas,3,9.0,96.33,97.0,1,2,3,2,1,0,71.7,10
2025,Duke,3,10.0,95.33,97.0,1,2,2,0,3,0,74.7,9
2025,Florida,2,15.0,96.0,96.0,0,1,2,1,0,1,72.0,4
2025,UCLA,3,18.0,95.67,96.0,0,1,3,1,2,0,74.0,5
2025,Louisville,4,19.0,95.0,96.0,0,3,3,3,1,0,70.2,9
2025,NC State,2,21.0,95.0,95.0,0,1,2,1,1,0,69.0,4
2025,Illinois,1,22.0,96.0,96.0,0,1,1,0,1,0,73.0,3
2025,Nebraska,1,25.0,96.0,96.0,0,1,1,1,0,0,71.0,3
2025,Rutgers,1,27.0,96.0,96.0,0,0,1,1,0,0,69.0,1
2025,Georgia Tech,3,29.0,93.67,94.0,0,0,2,3,0,0,67.3,2
2025,UNC,3,32.0,94.0,94.0,0,0,1,2,0,1,72.3,1
2025,Miami (FL),2,33.0,95.0,95.0,0,0,2,2,0,0,66.0,2
2025,Oregon,1,34.0,95.0,95.0,0,0,1,1,0,0,71.0,1
2025,Maryland,2,35.0,94.5,94.5,0,0,2,1,1,0,71.5,2
2025,Alabama,1,36.0,95.0,95.0,0,0,1,1,0,0,71.0,1
2025,Tennessee,1,37.0,95.0,95.0,0,0,1,1,0,0,69.0,1
2025,Washington,1,39.0,95.0,95.0,0,0,1,1,0,0,70.0,1
2025,Kentucky,1,40.0,95.0,95.0,0,0,1,0,1,0,74.0,1
2025,Iowa,4,42.0,93.25,93.5,0,0,1,3,0,1,71.0,1
2025,Mississippi State,1,43.0,94.0,94.0,0,0,1,0,1,0,75.0,1
2025,Stanford,3,44.0,93.33,94.0,0,0,1,1,2,0,72.0,1
2025,Oklahoma,2,46.0,93.5,93.5,0,0,1,1,1,0,70.0,1
2025,Colorado,2,48.0,93.0,93.0,0,0,1,0,2,0,73.5,1
2025,Baylor,2,51.0,93.5,93.5,0,0,0,1,1,0,70.5,0
2025,Northwestern,1,55.0,94.0,94.0,0,0,0,1,0,0,65.0,0
2025,California,2,56.0,93.0,93.0,0,0,0,1,1,0,72.0,0
2025,Purdue,1,57.0,94.0,94.0,0,0,0,1,0,0,67.0,0
2025,Texas A&M,1,60.0,94.0,94.0,0,0,0,1,0,0,73.0,0
2025,Indiana,1,61.0,93.0,93.0,0,0,0,0,1,0,75.0,0
2025,Michigan State,2,62.0,92.0,92.0,0,0,0,1,1,0,68.5,0
2025,Minnesota,1,63.0,93.0,93.0,0,0,0,1,0,0,69.0,0
2025,Texas Tech,1,64.0,93.0,93.0,0,0,0,1,0,0,73.0,0
2025,Boston College,1,66.0,93.0,93.0,0,0,0,1,0,0,65.0,0
2025,Georgia,4,67.0,92.5,93.0,0,0,0,3,1,0,69.8,0
2025,Virginia Tech,1,68.0,93.0,93.0,0,0,0,0,1,0,72.0,0
2025,Utah,1,70.0,93.0,93.0,0,0,0,1,0,0,68.0,0
2025,Loyola Chicago,1,75.0,92.0,92.0,0,0,0,0,1,0,75.0,0
2025,BYU,1,77.0,92.0,92.0,0,0,0,1,0,0,70.0,0
2025,West Virginia,2,78.0,92.0,92.0,0,0,0,0,1,1,73.5,0
2025,Arizona,1,81.0,92.0,92.0,0,0,0,1,0,0,67.0,0
2025,South Dakota State,1,83.0,92.0,92.0,0,0,0,0,1,0,74.0,0
2025,Syracuse,1,85.0,92.0,92.0,0,0,0,0,1,0,74.0,0
2025,Memphis,1,86.0,92.0,92.0,0,0,0,1,0,0,68.0,0
2025,UNLV,1,89.0,92.0,92.0,0,0,0,1,0,0,67.0,0
2025,LSU,1,90.0,92.0,92.0,0,0,0,1,0,0,66.0,0
2025,Oklahoma State,1,91.0,92.0,92.0,0,0,0,1,0,0,65.0,0
2025,Villanova,1,97.0,91.0,91.0,0,0,0,1,0,0,67.0,0
2025,Harvard,1,98.0,91.0,91.0,0,0,0,0,1,0,72.0,0
2025,Virginia,1,99.0,91.0,91.0,0,0,0,0,1,0,73.0,0
2025,St. John's (NY),1,100.0,91.0,91.0,0,0,0,1,0,0,64.0,0
2026,USC,1,1.0,98.0,98.0,1,1,1,1,0,0,73.0,6
2026,UCLA,1,2.0,98.0,98.0,1,1,1,0,1,0,76.0,6
2026,Oklahoma,3,3.0,95.0,94.0,1,1,2,2,1,0,72.0,7
2026,Duke,1,4.0,97.0,97.0,1,1,1,1,0,0,72.0,6
2026,Texas,1,5.0,97.0,97.0,1,1,1,1,0,0,73.0,6
2026,South Carolina,2,6.0,96.5,96.5,1,2,2,0,2,0,73.5,9
2026,LSU,4,7.0,96.25,96.5,2,3,4,3,1,0,71.2,16
2026,Stanford,4,8.0,95.25,96.5,1,3,3,1,3,0,74.2,12
2026,Tennessee,5,9.0,95.2,96.0,1,3,4,3,2,0,69.8,13
2026,Cincinnati,2,11.0,95.0,95.0,0,1,1,2,0,0,70.0,3
2026,UNC,3,13.0,95.0,96.0,0,1,2,1,2,0,72.7,4
2026,Washington,2,14.0,94.5,94.5,0,1,1,0,2,0,73.5,3
2026,Kansas State,3,16.0,94.33,94.0,0,1,2,3,0,0,72.0,4
2026,Kentucky,1,18.0,96.0,96.0,0,1,1,0,1,0,74.0,3
2026,Kansas,3,19.0,95.33,96.0,0,1,3,2,1,0,72.3,5
2026,California,2,22.0,94.0,94.0,0,1,1,2,0,0,68.5,3
2026,Iowa,2,23.0,94.0,94.0,0,1,1,1,0,1,74.0,3
2026,UConn,2,25.0,94.0,94.0,0,1,1,1,0,1,73.0,3
