team,season,conference,portal_in_count,portal_out_count,top_recruit_rank,avg_espn_grade,n_top10_recruits,n_top25_recruits,n_top50_recruits,n_recruits,recruit_star_index,n_guards,n_wings_forwards,n_bigs,avg_height_inches,ap_rank_preseason,ap_rank_peak,ap_rank_final,weeks_in_top25,peak_streak,wins,losses,win_pct,net_rating,roster_archetype
UNLV,2025,,,,89.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,67.0,,,,,,26.0,7.0,0.788,,Unranked / Low Recruit Visibility
USC,2025,Big Ten,,,6.0,95.17,1.0,3.0,4.0,6.0,13.0,3.0,3.0,0.0,72.0,3.0,2.0,5.0,21.0,21.0,32.0,4.0,0.889,,Top Recruit Anchor
Utah,2025,Big 12,,,70.0,93.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,68.0,,22.0,,2.0,2.0,20.0,9.0,0.69,,Veteran / Development Success
Vanderbilt,2025,SEC,,,8.0,98.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,72.0,,23.0,,2.0,2.0,22.0,11.0,0.667,,Top Recruit Anchor
Villanova,2025,,,,97.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,67.0,,,,,,20.0,15.0,0.571,,Unranked / Low Recruit Visibility
Virginia,2025,,,,99.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,73.0,,,,,,17.0,15.0,0.531,,Unranked / Low Recruit Visibility
Virginia Tech,2025,,,,68.0,93.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,72.0,,,,,,19.0,13.0,0.594,,Unranked / Low Recruit Visibility
Washington,2025,,,,39.0,95.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,70.0,,,,,,18.0,14.0,0.562,,Unranked / Low Recruit Visibility
West Virginia,2025,Big 12,,,78.0,92.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,73.5,16.0,12.0,21.0,21.0,21.0,25.0,8.0,0.758,,Veteran / Development Success
Alabama,2026,SEC,,,51.0,92.67,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,71.0,26.0,21.0,,7.0,7.0,23.0,10.0,0.697,,Veteran / Development Success
Auburn,2026,,,,95.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,15.0,17.0,0.469,,Unranked / Low Recruit Visibility
BYU,2026,,,,86.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,68.0,,,,,,22.0,11.0,0.667,,Unranked / Low Recruit Visibility
Baylor,2026,Big 12,,,41.0,94.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,72.0,16.0,7.0,,17.0,17.0,24.0,8.0,0.75,,Veteran / Development Success
Boston College,2026,,,,76.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,5.0,26.0,0.161,,Unranked / Low Recruit Visibility
California,2026,,,,22.0,94.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,68.5,,,,,,19.0,14.0,0.576,,Unranked / Low Recruit Visibility
Cincinnati,2026,,,,11.0,95.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,70.0,,,,,,11.0,20.0,0.355,,High Expectations / Underperformed
Clemson,2026,,,,64.0,92.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,70.5,,,,,,21.0,11.0,0.656,,Unranked / Low Recruit Visibility
Colorado,2026,,,,81.0,92.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,75.0,,,,,,22.0,11.0,0.667,,Unranked / Low Recruit Visibility
Creighton,2026,,,,70.0,91.67,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,71.3,,,,,,16.0,15.0,0.516,,Unranked / Low Recruit Visibility
Duke,2026,ACC,,,4.0,97.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,72.0,7.0,9.0,,9.0,7.0,24.0,8.0,0.75,,Top-5 Recruit-Built
Fairfield,2026,MAAC,,,,,,,,,,,,,,26.0,25.0,,1.0,1.0,28.0,4.0,0.875,,Veteran / Development Success
Florida,2026,,,,59.0,93.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,73.0,,,,,,18.0,15.0,0.545,,Unranked / Low Recruit Visibility
Georgia,2026,SEC,,,46.0,93.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,0.0,72.7,26.0,22.0,,4.0,3.0,22.0,9.0,0.71,,Veteran / Development Success
Harvard,2026,,,,61.0,93.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,73.0,,,,,,17.0,10.0,0.63,,Unranked / Low Recruit Visibility
Illinois,2026,Big Ten,,,29.0,93.75,0.0,0.0,3.0,4.0,3.0,1.0,3.0,0.0,72.2,26.0,25.0,,1.0,1.0,21.0,11.0,0.656,,Veteran / Development Success
Indiana,2026,,,,35.0,94.5,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,72.5,,,,,,18.0,14.0,0.562,,Unranked / Low Recruit Visibility
Iowa,2026,Big Ten,,,23.0,94.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,74.0,21.0,8.0,,17.0,17.0,26.0,6.0,0.812,,Veteran / Development Success
Iowa State,2026,Big 12,,,,,,,,,,,,,,14.0,10.0,,10.0,10.0,22.0,9.0,0.71,,Veteran / Development Success
Kansas,2026,,,,19.0,95.33,0.0,1.0,3.0,3.0,5.0,2.0,1.0,0.0,72.3,,,,,,19.0,13.0,0.594,,High Expectations / Underperformed
Kansas State,2026,,,,16.0,94.33,0.0,1.0,2.0,3.0,4.0,3.0,0.0,0.0,72.0,,,,,,18.0,17.0,0.514,,High Expectations / Underperformed
Kentucky,2026,SEC,,,18.0,96.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,74.0,24.0,6.0,,17.0,17.0,23.0,10.0,0.697,,Balanced Recruit + Results
LSU,2026,SEC,,,7.0,96.25,2.0,3.0,4.0,4.0,16.0,3.0,1.0,0.0,71.2,5.0,5.0,,17.0,17.0,27.0,5.0,0.844,,Top Recruit Anchor
Louisville,2026,ACC,,,78.0,92.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,76.0,20.0,6.0,,17.0,17.0,27.0,7.0,0.794,,Veteran / Development Success
Maryland,2026,Big Ten,,,34.0,95.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,69.0,10.0,7.0,,17.0,17.0,23.0,8.0,0.742,,Veteran / Development Success
Miami (FL),2026,,,,36.0,93.0,0.0,0.0,1.0,4.0,1.0,3.0,1.0,0.0,72.0,,,,,,17.0,14.0,0.548,,Unranked / Low Recruit Visibility
Michigan,2026,Big Ten,,,39.0,92.67,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,72.3,13.0,6.0,,17.0,17.0,25.0,6.0,0.806,,Veteran / Development Success
Michigan State,2026,Big Ten,,,33.0,93.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,69.5,23.0,12.0,,17.0,17.0,22.0,8.0,0.733,,Veteran / Development Success
Minnesota,2026,Big Ten,,,52.0,94.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,71.0,26.0,19.0,,3.0,3.0,22.0,8.0,0.733,,Veteran / Development Success
Mississippi State,2026,,,,37.0,93.33,0.0,0.0,2.0,3.0,2.0,1.0,2.0,0.0,73.7,,,,,,18.0,13.0,0.581,,Unranked / Low Recruit Visibility
NC State,2026,ACC,,,65.0,92.5,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,69.5,9.0,10.0,,4.0,4.0,20.0,10.0,0.667,,Veteran / Development Success
Nebraska,2026,Big Ten,,,,,,,,,,,,,,26.0,20.0,,6.0,6.0,18.0,12.0,0.6,,Veteran / Development Success
Notre Dame,2026,ACC,,,26.0,96.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,74.0,15.0,18.0,,9.0,8.0,22.0,10.0,0.688,,Veteran / Development Success
Ohio State,2026,Big Ten,,,83.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,73.0,26.0,8.0,,13.0,13.0,26.0,7.0,0.788,,Veteran / Development Success
Oklahoma,2026,SEC,,,3.0,95.0,1.0,1.0,2.0,3.0,7.0,2.0,1.0,0.0,72.0,6.0,5.0,,17.0,17.0,24.0,7.0,0.774,,Elite Recruiting Class
Oklahoma State,2026,Big 12,,,56.0,93.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,72.0,22.0,18.0,,6.0,6.0,23.0,9.0,0.719,,Veteran / Development Success
Ole Miss,2026,SEC,,,90.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,69.0,12.0,13.0,,17.0,17.0,23.0,11.0,0.676,,Veteran / Development Success
Oregon,2026,,,,53.0,94.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,22.0,12.0,0.647,,Unranked / Low Recruit Visibility
Pittsburgh,2026,,,,30.0,93.5,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,69.0,,,,,,8.0,23.0,0.258,,Unranked / Low Recruit Visibility
Princeton,2026,Ivy,,,,,,,,,,,,,,26.0,19.0,,10.0,8.0,24.0,3.0,0.889,,Veteran / Development Success
Purdue,2026,,,,63.0,93.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,77.0,,,,,,13.0,17.0,0.433,,Unranked / Low Recruit Visibility
Richmond,2026,A10,,,,,,,,,,,,,,24.0,,,1.0,1.0,26.0,7.0,0.788,,Veteran / Development Success
South Carolina,2026,SEC,,,6.0,96.5,1.0,2.0,2.0,2.0,9.0,0.0,2.0,0.0,73.5,2.0,2.0,,17.0,17.0,31.0,3.0,0.912,,Top Recruit Anchor
Stanford,2026,,,,8.0,95.25,1.0,3.0,3.0,4.0,12.0,1.0,3.0,0.0,74.2,,,,,,19.0,13.0,0.594,,Top Recruit Anchor
Syracuse,2026,,,,60.0,93.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,73.0,,,,,,23.0,8.0,0.742,,Unranked / Low Recruit Visibility
TCU,2026,Big 12,,,,,,,,,,,,,,17.0,8.0,,17.0,17.0,29.0,5.0,0.853,,Veteran / Development Success
Tennessee,2026,SEC,,,9.0,95.2,1.0,3.0,4.0,5.0,13.0,3.0,2.0,0.0,69.8,8.0,12.0,,15.0,15.0,16.0,13.0,0.552,,Top Recruit Anchor
Texas,2026,SEC,,,5.0,97.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,73.0,4.0,2.0,,17.0,17.0,31.0,3.0,0.912,,Top-5 Recruit-Built
Texas Tech,2026,Big 12,,,,,,,,,,,,,,26.0,16.0,,10.0,10.0,25.0,7.0,0.781,,Veteran / Development Success
UCLA,2026,Big Ten,,,2.0,98.0,1.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,76.0,3.0,2.0,,17.0,17.0,31.0,1.0,0.969,,Elite Recruiting Class
UConn,2026,Big East,,,25.0,94.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,73.0,1.0,1.0,,17.0,17.0,34.0,0.0,1.0,,Veteran / Development Success
UNC,2026,ACC,,,13.0,95.0,0.0,1.0,2.0,3.0,4.0,1.0,2.0,0.0,72.7,11.0,11.0,,14.0,9.0,26.0,7.0,0.788,,Balanced Recruit + Results
USC,2026,Big Ten,,,1.0,98.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,73.0,18.0,8.0,,9.0,9.0,17.0,13.0,0.567,,Elite Recruiting Class
Utah,2026,,,,28.0,95.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,69.0,,,,,,19.0,12.0,0.613,,Unranked / Low Recruit Visibility
Vanderbilt,2026,SEC,,,,,,,,,,,,,,19.0,5.0,,17.0,17.0,27.0,4.0,0.871,,Veteran / Development Success
Villanova,2026,,,,79.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,72.0,,,,,,25.0,7.0,0.781,,Unranked / Low Recruit Visibility
Virginia,2026,,,,94.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,19.0,11.0,0.633,,Unranked / Low Recruit Visibility
Virginia Tech,2026,,,,74.0,92.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,71.5,,,,,,23.0,9.0,0.719,,Unranked / Low Recruit Visibility
Washington,2026,Big Ten,,,14.0,94.5,0.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,73.5,26.0,20.0,,11.0,6.0,21.0,10.0,0.677,,Balanced Recruit + Results
West Virginia,2026,Big 12,,,88.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,71.0,26.0,15.0,,10.0,7.0,27.0,6.0,0.818,,Veteran / Development Success
,2026,,,,69.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,72.0,,,,,,,,,,Unranked / Low Recruit Visibility
Arizona,2027,,,,60.0,93.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Arizona State,2027,,,,54.0,94.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Arkansas,2027,,,,49.0,94.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Auburn,2027,,,,72.0,92.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Clemson,2027,,,,11.0,94.75,0.0,1.0,4.0,4.0,6.0,2.0,2.0,0.0,,,,,,,,,,,High Expectations / Underperformed
Columbia,2027,,,,84.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Duke,2027,,,,12.0,95.25,0.0,3.0,4.0,4.0,10.0,3.0,0.0,1.0,,,,,,,,,,,High Expectations / Underperformed
East Carolina,2027,,,,96.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
FSU,2027,,,,21.0,94.33,0.0,1.0,2.0,3.0,4.0,1.0,2.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Florida,2027,,,,48.0,94.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Florida Atlantic,2027,,,,89.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Grand Canyon,2027,,,,76.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Illinois State,2027,,,,66.0,93.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Indiana,2027,,,,28.0,94.33,0.0,0.0,2.0,3.0,2.0,2.0,1.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Iowa,2027,,,,6.0,97.0,1.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,,,,,,,,,,,Top Recruit Anchor
Kansas,2027,,,,33.0,93.5,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Kentucky,2027,,,,13.0,95.33,0.0,3.0,3.0,3.0,9.0,2.0,1.0,0.0,,,,,,,,,,,High Expectations / Underperformed
LSU,2027,,,,29.0,95.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Louisville,2027,,,,34.0,94.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Maryland,2027,,,,7.0,95.5,1.0,1.0,2.0,2.0,7.0,1.0,1.0,0.0,,,,,,,,,,,Top Recruit Anchor
Michigan,2027,,,,45.0,93.5,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Michigan State,2027,,,,15.0,96.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,,,,,,,,,,,High Expectations / Underperformed
Middle Tennessee,2027,,,,73.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Minnesota,2027,,,,40.0,93.5,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Mississippi State,2027,,,,75.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Missouri,2027,,,,79.0,91.5,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
NC State,2027,,,,38.0,92.5,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Nebraska,2027,,,,22.0,92.67,0.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Northwestern,2027,,,,97.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Notre Dame,2027,,,,9.0,94.4,1.0,2.0,4.0,5.0,11.0,1.0,4.0,0.0,,,,,,,,,,,Top Recruit Anchor
Ohio State,2027,,,,74.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Oklahoma,2027,,,,36.0,93.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Oregon,2027,,,,26.0,94.5,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Oregon State,2027,,,,83.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Penn State,2027,,,,51.0,94.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Richmond,2027,,,,80.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
SMU,2027,,,,78.0,91.5,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Seton Hall,2027,,,,87.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,Unranked / Low Recruit Visibility
South Carolina,2027,,,,5.0,96.0,1.0,3.0,3.0,3.0,12.0,1.0,2.0,0.0,,,,,,,,,,,Top-5 Recruit-Built
St. John's (NY),2027,,,,99.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Stanford,2027,,,,86.0,91.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Tennessee,2027,,,,2.0,95.5,1.0,1.0,1.0,2.0,6.0,0.0,2.0,0.0,,,,,,,,,,,Elite Recruiting Class
Texas,2027,,,,8.0,95.5,2.0,3.0,3.0,4.0,15.0,2.0,2.0,0.0,,,,,,,,,,,Top Recruit Anchor
Texas A&M,2027,,,,44.0,93.5,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Texas Tech,2027,,,,67.0,92.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
UC Santa Barbara,2027,,,,55.0,93.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
UConn,2027,,,,3.0,98.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,1.0,,,,,,,,,,,Elite Recruiting Class
UNC,2027,,,,4.0,96.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,0.0,,,,,,,,,,,Top-5 Recruit-Built
UNLV,2027,,,,85.0,91.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
USC,2027,,,,1.0,98.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,,,,,,,,,,,Elite Recruiting Class
Utah,2027,,,,65.0,92.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Vanderbilt,2027,,,,14.0,95.5,0.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,,,,,,,,,,,High Expectations / Underperformed
Virginia Tech,2027,,,,70.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Washington,2027,,,,46.0,94.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
Wisconsin,2027,,,,47.0,94.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
,2027,,,,90.0,91.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,,,,,,,,,,Unranked / Low Recruit Visibility
