team,season,conference,roster_archetype,top_recruit_rank,avg_espn_grade,recruit_star_index,n_top10_recruits,n_top25_recruits,ap_rank_preseason,ap_rank_peak,ap_rank_final,weeks_in_top25,wins,losses,win_pct
Oklahoma,2023,Big 12,Veteran / Development Success,96.0,91.0,0.0,0.0,0.0,15.0,13.0,14.0,16.0,26.0,7.0,0.788
Oregon,2023,Pac 12,Top Recruit Anchor,7.0,95.75,10.0,1.0,2.0,20.0,16.0,,11.0,20.0,15.0,0.571
Oregon State,2023,,Top Recruit Anchor,6.0,97.5,12.0,2.0,2.0,,,,,13.0,18.0,0.419
Penn State,2023,,Unranked / Low Recruit Visibility,56.0,94.0,0.0,0.0,0.0,,,,,14.0,17.0,0.452
Pittsburgh,2023,,Unranked / Low Recruit Visibility,98.0,91.0,0.0,0.0,0.0,,,,,10.0,20.0,0.333
Princeton,2023,Ivy,Veteran / Development Success,43.0,94.0,2.0,0.0,0.0,24.0,,,1.0,24.0,6.0,0.8
Purdue,2023,,Unranked / Low Recruit Visibility,87.0,91.0,0.0,0.0,0.0,,,,,19.0,11.0,0.633
Rutgers,2023,,Unranked / Low Recruit Visibility,64.0,93.0,0.0,0.0,0.0,,,,,12.0,20.0,0.375
South Carolina,2023,SEC,Balanced Recruit + Results,12.0,96.5,6.0,0.0,2.0,1.0,1.0,1.0,18.0,36.0,1.0,0.973
South Dakota State,2023,Summit,Veteran / Development Success,,,,,,23.0,,,1.0,29.0,6.0,0.829
South Florida,2023,AAC,Veteran / Development Success,,,,,,,24.0,,3.0,27.0,7.0,0.794
St. John's (NY),2023,Big East,Veteran / Development Success,,,,,,,24.0,,3.0,23.0,9.0,0.719
Stanford,2023,Pac 12,Elite Recruiting Class,1.0,95.67,9.0,1.0,2.0,2.0,2.0,5.0,18.0,29.0,6.0,0.829
Tennessee,2023,SEC,Balanced Recruit + Results,11.0,97.0,3.0,0.0,1.0,5.0,11.0,23.0,4.0,25.0,12.0,0.676
Texas,2023,Big 12,Veteran / Development Success,34.0,93.67,1.0,0.0,0.0,3.0,3.0,15.0,11.0,26.0,10.0,0.722
Texas A&M,2023,,Elite Recruiting Class,3.0,95.0,7.0,1.0,1.0,,,,,9.0,20.0,0.31
Texas Tech,2023,,Unranked / Low Recruit Visibility,54.0,94.0,0.0,0.0,0.0,,,,,20.0,15.0,0.571
UCF,2023,,Unranked / Low Recruit Visibility,66.0,93.0,0.0,0.0,0.0,,,,,14.0,15.0,0.483
UCLA,2023,Pac 12,Elite Recruiting Class,2.0,95.75,13.0,1.0,3.0,,8.0,17.0,16.0,27.0,10.0,0.73
UConn,2023,Big East,Top-5 Recruit-Built,4.0,98.0,12.0,2.0,2.0,6.0,3.0,7.0,18.0,31.0,6.0,0.838
UNC,2023,ACC,Veteran / Development Success,27.0,95.0,1.0,0.0,0.0,12.0,6.0,19.0,18.0,22.0,11.0,0.667
UNLV,2023,MWC,Veteran / Development Success,,,,,,,22.0,21.0,4.0,31.0,3.0,0.912
USC,2023,Pac 12,Top Recruit Anchor,8.0,97.0,6.0,1.0,1.0,,25.0,,1.0,21.0,10.0,0.677
Utah,2023,Pac 12,Veteran / Development Success,,,,,,,3.0,8.0,17.0,28.0,5.0,0.848
Vanderbilt,2023,,Unranked / Low Recruit Visibility,82.0,91.0,0.0,0.0,0.0,,,,,12.0,19.0,0.387
Villanova,2023,Big East,Veteran / Development Success,,,,,,,11.0,10.0,14.0,30.0,7.0,0.811
Virginia,2023,,Unranked / Low Recruit Visibility,72.0,92.0,0.0,0.0,0.0,,,,,15.0,15.0,0.5
Virginia Tech,2023,ACC,Veteran / Development Success,44.0,94.0,1.0,0.0,0.0,13.0,6.0,4.0,18.0,31.0,5.0,0.861
Washington,2023,,Unranked / Low Recruit Visibility,40.0,93.67,1.0,0.0,0.0,,,,,19.0,15.0,0.559
Washington State,2023,Pac 12,Veteran / Development Success,,,,,,,,22.0,1.0,23.0,11.0,0.676
West Virginia,2023,,Unranked / Low Recruit Visibility,83.0,91.0,0.0,0.0,0.0,,,,,19.0,12.0,0.613
Wisconsin,2023,,Unranked / Low Recruit Visibility,90.0,91.0,0.0,0.0,0.0,,,,,11.0,20.0,0.355
Yale,2023,,Unranked / Low Recruit Visibility,92.0,91.0,0.0,0.0,0.0,,,,,13.0,14.0,0.481
Alabama,2024,,Unranked / Low Recruit Visibility,22.0,94.33,4.0,0.0,1.0,,,,,24.0,10.0,0.706
Arizona,2024,,Top Recruit Anchor,8.0,95.0,12.0,1.0,3.0,,,,,18.0,16.0,0.529
Arkansas,2024,,High Expectations / Underperformed,11.0,95.0,3.0,0.0,1.0,,,,,18.0,15.0,0.545
BYU,2024,,Unranked / Low Recruit Visibility,33.0,95.0,1.0,0.0,0.0,,,,,16.0,17.0,0.485
Baylor,2024,Big 12,Veteran / Development Success,36.0,95.0,1.0,0.0,0.0,19.0,4.0,13.0,21.0,26.0,8.0,0.765
Colorado,2024,Pac 12,Veteran / Development Success,75.0,93.0,0.0,0.0,0.0,20.0,3.0,15.0,21.0,24.0,10.0,0.706
Creighton,2024,Big East,Veteran / Development Success,,,,,,22.0,20.0,23.0,19.0,26.0,6.0,0.812
DePaul,2024,,Unranked / Low Recruit Visibility,60.0,93.0,0.0,0.0,0.0,,,,,12.0,20.0,0.375
Duke,2024,ACC,Elite Recruiting Class,3.0,95.0,8.0,1.0,1.0,,,17.0,1.0,22.0,12.0,0.647
East Carolina,2024,,Unranked / Low Recruit Visibility,94.0,91.0,0.0,0.0,0.0,,,,,19.0,14.0,0.576
Fairfield,2024,MAAC,Veteran / Development Success,,,,,,,25.0,,3.0,31.0,2.0,0.939
Florida,2024,,High Expectations / Underperformed,19.0,96.0,3.0,0.0,1.0,,,,,16.0,16.0,0.5
Florida State,2024,ACC,Veteran / Development Success,,,,,,18.0,12.0,,12.0,23.0,11.0,0.676
Georgia,2024,,Unranked / Low Recruit Visibility,100.0,91.0,0.0,0.0,0.0,,,,,12.0,18.0,0.4
Gonzaga,2024,WCC,Veteran / Development Success,,,,,,,14.0,14.0,17.0,32.0,4.0,0.889
Illinois,2024,Big Ten,Veteran / Development Success,,,,,,23.0,,,1.0,19.0,15.0,0.559
Indiana,2024,Big Ten,Veteran / Development Success,52.0,93.5,0.0,0.0,0.0,9.0,10.0,12.0,21.0,26.0,6.0,0.812
Iowa,2024,Big Ten,Veteran / Development Success,84.0,93.0,0.0,0.0,0.0,3.0,2.0,2.0,21.0,34.0,5.0,0.872
Iowa State,2024,Big 12,Veteran / Development Success,31.0,94.0,2.0,0.0,0.0,,24.0,25.0,2.0,22.0,12.0,0.647
Kansas,2024,,Unranked / Low Recruit Visibility,34.0,95.0,1.0,0.0,0.0,,,,,20.0,13.0,0.606
Kansas State,2024,Big 12,Veteran / Development Success,,,,,,,2.0,19.0,19.0,27.0,8.0,0.771
LSU,2024,SEC,Elite Recruiting Class,2.0,95.5,13.0,2.0,2.0,1.0,7.0,6.0,21.0,31.0,6.0,0.838
Louisville,2024,ACC,Veteran / Development Success,,,,,,17.0,13.0,,20.0,24.0,10.0,0.706
Marquette,2024,Big East,Veteran / Development Success,,,,,,,18.0,,8.0,23.0,9.0,0.719
Maryland,2024,Big Ten,Balanced Recruit + Results,18.0,94.5,3.0,0.0,1.0,14.0,20.0,,2.0,19.0,14.0,0.576
Miami (FL),2024,ACC,Veteran / Development Success,,,,,,,24.0,,1.0,19.0,12.0,0.613
Michigan,2024,,Unranked / Low Recruit Visibility,59.0,93.0,0.0,0.0,0.0,,,,,20.0,14.0,0.588
Minnesota,2024,,Unranked / Low Recruit Visibility,98.0,91.0,0.0,0.0,0.0,,,,,20.0,16.0,0.556
Mississippi State,2024,SEC,Veteran / Development Success,48.0,93.33,1.0,0.0,0.0,25.0,21.0,,3.0,23.0,12.0,0.657
Missouri,2024,,Unranked / Low Recruit Visibility,53.0,94.0,0.0,0.0,0.0,,,,,11.0,19.0,0.367
NC State,2024,ACC,Top Recruit Anchor,9.0,94.0,6.0,1.0,1.0,,3.0,4.0,20.0,31.0,7.0,0.816
Nebraska,2024,,Unranked / Low Recruit Visibility,91.0,92.0,0.0,0.0,0.0,,,,,23.0,12.0,0.657
Notre Dame,2024,ACC,Top-5 Recruit-Built,5.0,96.33,12.0,1.0,3.0,10.0,9.0,11.0,21.0,28.0,7.0,0.8
Ohio State,2024,Big Ten,Veteran / Development Success,70.0,93.0,0.0,0.0,0.0,7.0,2.0,16.0,21.0,26.0,6.0,0.812
Oklahoma,2024,Big 12,Veteran / Development Success,23.0,96.0,3.0,0.0,1.0,,17.0,21.0,10.0,23.0,10.0,0.697
Ole Miss,2024,SEC,Veteran / Development Success,88.0,92.0,0.0,0.0,0.0,12.0,19.0,,4.0,24.0,9.0,0.727
