Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
16,Houston,Big 12,7,23,0.233,,1,17,0.056,,61.2,73.2,,0.46,12.46,,,,,,
1,Connecticut,Big East,33,0,1.0,,20,0,1.0,,88.7,50.4,,51.59,13.22,,1.0,1.0,,,Reg. Season Champion
2,Villanova,Big East,25,6,0.806,,16,4,0.8,,72.5,60.5,,21.92,9.85,,,,,,
3,Seton Hall,Big East,19,12,0.613,,12,8,0.6,,67.8,64.1,,13.36,9.59,,,,,,
4,Marquette,Big East,18,12,0.6,,12,8,0.6,,67.0,63.7,,12.65,9.34,,,,,,
5,St. John's (NY),Big East,22,11,0.667,,11,9,0.55,,62.5,60.8,,7.58,5.94,,,,,,
6,Creighton,Big East,16,15,0.516,,11,9,0.55,,67.5,68.8,,9.91,11.17,,,,,,
7,Providence,Big East,15,18,0.455,,7,13,0.35,,60.0,63.9,,3.21,7.12,,,,,,
8,Georgetown,Big East,14,17,0.452,,6,14,0.3,,62.6,62.5,,9.21,9.05,,,,,,
9,Butler,Big East,12,19,0.387,,6,14,0.3,,62.2,65.0,,5.48,8.29,,,,,,
10,DePaul,Big East,8,24,0.25,,5,15,0.25,,63.0,72.3,,-1.16,8.12,,,,,,
11,Xavier,Big East,11,19,0.367,,4,16,0.2,,58.4,66.6,,-1.33,6.87,,,,,,
1,Idaho,Big Sky,27,5,0.844,,17,1,0.944,,77.3,66.0,,6.41,-4.86,,,,,,
2,Montana State,Big Sky,24,6,0.8,,16,2,0.889,,74.2,62.3,,11.23,-0.67,,,,,,Reg. Season Champion
3,Northern Colorado,Big Sky,22,9,0.71,,13,5,0.722,,65.5,61.6,,0.47,-3.5,,,,,,
4,Idaho State,Big Sky,19,10,0.655,,12,6,0.667,,64.9,61.1,,1.04,-2.78,,,,,,
5,Sacramento State,Big Sky,14,17,0.452,,8,10,0.444,,60.3,62.4,,-4.93,-2.86,,,,,,
6,Eastern Washington,Big Sky,14,17,0.452,,7,11,0.389,,68.1,70.6,,-5.0,-2.58,,,,,,
7,Northern Arizona,Big Sky,10,22,0.313,,6,12,0.333,,67.5,75.7,,-8.94,-0.8,,,,,,
8,Montana,Big Sky,9,22,0.29,,5,13,0.278,,61.4,72.4,,-9.77,1.17,,,,,,
9,Weber State,Big Sky,11,22,0.333,,4,14,0.222,,62.2,69.8,,-8.07,-0.47,,,,,,
