season,team,conference,preseason_rank,best_rank,worst_rank,avg_rank_when_ranked,final_rank,weeks_in_top25,peak_streak,first_ranked_week,last_ranked_week
2023,Ohio State,Big Ten,14.0,2.0,16.0,6.5,12.0,18,18,Pre,Final
2023,Oklahoma,Big 12,15.0,13.0,24.0,17.93,14.0,16,16,Pre,Final
2023,Oregon,Pac 12,20.0,16.0,23.0,18.7,,11,11,Pre,1/16
2023,Princeton,Ivy,24.0,,,,,1,1,Pre,Pre
2023,South Carolina,SEC,1.0,1.0,1.0,1.0,1.0,18,18,Pre,Final
2023,South Dakota State,Summit,23.0,,,,,1,1,Pre,Pre
2023,South Florida,AAC,,24.0,25.0,24.67,,3,3,1/30,2/28
2023,St. John's (NY),Big East,,24.0,25.0,24.67,,3,3,12/19,1/2
2023,Stanford,Pac 12,2.0,2.0,6.0,2.81,5.0,18,18,Pre,Final
2023,Tennessee,SEC,5.0,11.0,23.0,17.0,23.0,4,4,Pre,Final
2023,Texas,Big 12,3.0,3.0,25.0,17.89,15.0,11,11,Pre,Final
2023,UCLA,Pac 12,,8.0,20.0,13.33,17.0,16,16,11/21,Final
2023,UConn,Big East,6.0,3.0,9.0,5.62,7.0,18,18,Pre,Final
2023,UNC,ACC,12.0,6.0,22.0,13.81,19.0,18,18,Pre,Final
2023,UNLV,MWC,,22.0,24.0,23.0,21.0,4,4,2/13,Final
2023,USC,Pac 12,,25.0,25.0,25.0,,1,1,2/13,2/13
2023,Utah,Pac 12,,3.0,25.0,10.81,8.0,17,17,11/14,Final
2023,Villanova,Big East,,11.0,25.0,20.31,10.0,14,14,11/14,Final
2023,Virginia Tech,ACC,13.0,6.0,14.0,10.0,4.0,18,18,Pre,Final
2023,Washington State,Pac 12,,,,,22.0,1,1,Final,Final
2024,Baylor,Big 12,19.0,4.0,24.0,14.47,13.0,21,21,Pre,Post
2024,Colorado,Pac 12,20.0,3.0,18.0,8.37,15.0,21,21,Pre,Post
2024,Creighton,Big East,22.0,20.0,24.0,21.59,23.0,19,19,Pre,Post
2024,Duke,ACC,,,,,17.0,1,1,Post,Post
2024,Fairfield,MAAC,,25.0,25.0,25.0,,3,3,3/4,3/18
2024,Florida State,ACC,18.0,12.0,23.0,18.73,,12,12,Pre,1/22
2024,Gonzaga,WCC,,14.0,23.0,17.75,14.0,17,17,12/4,Post
2024,Illinois,Big Ten,23.0,,,,,1,1,Pre,Pre
2024,Indiana,Big Ten,9.0,10.0,21.0,14.95,12.0,21,21,Pre,Post
2024,Iowa,Big Ten,3.0,2.0,6.0,3.53,2.0,21,21,Pre,Post
2024,Iowa State,Big 12,,24.0,24.0,24.0,25.0,2,2,1/15,Post
2024,Kansas State,Big 12,,2.0,16.0,11.17,19.0,19,19,11/20,Post
2024,LSU,SEC,1.0,7.0,13.0,8.58,6.0,21,21,Pre,Post
2024,Louisville,ACC,17.0,13.0,24.0,18.95,,20,20,Pre,3/18
2024,Marquette,Big East,,18.0,23.0,20.12,,8,8,11/27,1/15
2024,Maryland,Big Ten,14.0,20.0,20.0,20.0,,2,2,Pre,11/13
2024,Miami (FL),ACC,,24.0,24.0,24.0,,1,1,12/11,12/11
2024,Mississippi State,SEC,25.0,21.0,25.0,23.0,,3,3,Pre,11/27
2024,NC State,ACC,,3.0,14.0,6.63,4.0,20,20,11/13,Post
2024,Notre Dame,ACC,10.0,9.0,19.0,14.95,11.0,21,21,Pre,Post
2024,Ohio State,Big Ten,7.0,2.0,20.0,10.63,16.0,21,21,Pre,Post
2024,Oklahoma,Big 12,,17.0,25.0,21.22,21.0,10,10,11/13,Post
2024,Ole Miss,SEC,12.0,19.0,24.0,22.0,,4,4,Pre,11/27
2024,Oregon State,Pac 12,,9.0,25.0,14.22,8.0,10,10,1/22,Post
2024,Penn State,Big Ten,,25.0,25.0,25.0,,1,1,12/4,12/4
2024,Princeton,Ivy,,25.0,25.0,25.0,,5,5,11/27,2/19
2024,South Carolina,SEC,6.0,1.0,1.0,1.0,1.0,21,21,Pre,Post
2024,Stanford,Pac 12,15.0,2.0,9.0,5.79,9.0,21,21,Pre,Post
2024,Syracuse,ACC,,17.0,25.0,21.0,20.0,11,11,1/1,Post
2024,TCU,Big 12,,23.0,25.0,23.67,,3,3,12/18,1/1
