date,team,conference,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,DivIWL,ConfRecord,Non-ConfRecord,RoadWL,NETSOS,NetNonConfSOS,WABRk,WAB,NCWABRk,NCWAB,Last10Games,Q1,Q2,Q3,Q4
2026-02-03,Colorado St.,Mountain West,87,88,144,174,16-6,8-4,8-2,7-2,203,169,94,-2.97,55,-0.11,6-4,0-0,1-2,1-3,14-1
2026-02-03,Green Bay,Horizon,88,87,219,195,17-5,13-0,4-5,7-3,162,35,73,-1.52,120,-1.84,10-0,0-2,0-3,1-0,16-0
2026-02-03,UC Irvine,Big West,89,89,310,224,17-4,8-2,9-2,5-3,360,353,101,-3.23,107,-1.57,8-2,0-0,0-0,0-1,17-3
2026-02-03,Texas A&M,SEC,90,91,9,95,8-10,1-8,7-2,2-4,3,129,58,-0.68,51,-0.04,2-8,0-8,3-1,0-0,5-1
2026-02-03,Louisiana Tech,CUSA,91,90,163,180,13-5,6-1,7-4,4-3,177,124,82,-2.32,108,-1.57,9-1,0-2,0-0,0-1,13-2
2026-02-03,Lindenwood,OVC,92,92,185,186,14-7,8-4,6-3,7-4,186,74,117,-3.92,65,-0.48,7-3,0-2,0-0,2-1,12-4
2026-02-03,Georgia Tech,ACC,93,94,32,114,10-13,5-6,5-7,2-7,39,98,126,-4.52,231,-3.98,6-4,0-6,2-3,1-2,7-2
2026-02-03,Western Ill.,OVC,94,93,319,228,15-3,10-2,5-1,7-3,295,190,69,-1.36,50,0.03,8-2,0-1,0-0,2-0,13-2
2026-02-03,Marshall,Sun Belt,95,95,123,167,16-6,9-3,7-3,6-4,166,199,88,-2.6,98,-1.36,7-3,0-1,1-2,2-1,13-2
2026-02-03,Creighton,Big East,96,96,44,124,10-12,6-7,4-5,4-7,73,122,171,-6.12,180,-2.96,4-6,0-3,1-4,1-2,8-3
2026-02-03,Massachusetts,MAC,97,97,241,200,15-4,7-2,8-2,6-3,303,335,83,-2.33,96,-1.32,7-3,0-0,0-2,1-1,14-1
2026-02-03,Col. of Charleston,CAA,98,98,315,225,15-3,9-0,6-3,7-1,314,232,71,-1.49,112,-1.66,9-1,0-1,1-0,1-0,13-2
2026-02-03,Murray St.,MVC,99,100,121,166,18-3,10-1,8-2,7-3,206,141,50,-0.12,48,0.09,9-1,0-1,1-1,2-1,15-0
2026-02-03,Penn St.,Big Ten,100,99,6,86,7-15,0-11,7-4,1-6,4,72,110,-3.69,80,-0.89,0-10,0-9,1-5,1-0,5-1
2026-02-03,South Dakota,Summit League,101,101,298,219,14-6,7-2,7-4,6-4,271,327,118,-3.96,186,-3.09,8-2,0-1,2-0,1-1,11-4
2026-02-03,Belmont,MVC,102,102,72,140,12-9,8-2,4-7,5-3,67,11,97,-3.09,115,-1.69,7-3,0-5,0-1,0-2,12-1
2026-02-03,New Mexico,Mountain West,103,103,185,186,15-7,7-4,8-3,5-3,208,227,119,-3.99,97,-1.34,6-4,0-1,0-2,2-1,13-3
2026-02-03,Abilene Christian,WAC,104,104,243,201,12-6,6-2,6-4,5-3,305,274,125,-4.43,168,-2.75,8-2,0-1,0-0,1-0,11-5
2026-02-03,Arkansas,SEC,105,105,65,134,11-12,0-8,11-4,1-6,44,281,113,-3.73,133,-2.22,1-9,0-7,0-2,0-2,11-1
2026-02-03,Central Mich.,MAC,106,106,168,181,12-7,7-3,5-4,7-5,101,24,92,-2.91,68,-0.53,7-3,0-3,0-1,1-2,11-1
2026-02-03,Eastern Ky.,ASUN,107,107,339,236,17-4,10-0,7-4,8-2,318,275,84,-2.34,158,-2.63,10-0,0-1,0-0,1-0,16-3
2026-02-03,High Point,Big South,108,108,353,255,18-2,9-0,9-2,5-2,348,323,62,-0.94,86,-1.02,10-0,0-0,0-1,2-0,16-1
2026-02-03,St. John's (NY),Big East,109,109,100,157,17-7,7-6,10-1,6-5,92,213,70,-1.38,37,0.75,6-4,1-2,3-2,1-2,12-1
2026-02-03,Florida St.,ACC,110,110,14,103,7-15,2-8,5-7,2-5,20,30,161,-5.88,153,-2.58,3-7,0-5,0-7,1-1,6-2
2026-02-03,Idaho,Big Sky,111,111,289,216,15-5,8-1,7-4,7-4,327,333,108,-3.47,197,-3.21,8-2,0-0,0-2,0-0,15-3
2026-02-03,UNI,MVC,112,112,97,155,11-10,7-4,4-6,6-6,118,46,156,-5.81,163,-2.7,6-4,0-2,0-2,1-3,10-3
2026-02-03,North Texas,American,113,113,91,151,10-10,6-4,4-6,4-3,123,71,170,-6.12,192,-3.17,6-4,0-3,0-0,0-3,10-4
2026-02-03,Boise St.,Mountain West,114,114,171,182,16-5,8-3,8-2,3-4,241,239,87,-2.55,69,-0.56,8-2,0-1,0-2,1-1,15-1
2026-02-03,Central Ark.,ASUN,115,115,216,194,9-10,4-5,5-5,4-7,306,273,233,-8.35,219,-3.75,4-6,0-0,0-1,1-2,8-7
2026-02-03,Cincinnati,Big 12,116,116,19,105,7-14,3-7,4-7,1-7,51,246,190,-7.03,279,-5.43,3-7,0-4,2-4,3-2,2-4
2026-02-03,UCF,Big 12,117,117,87,150,10-11,2-8,8-3,1-4,65,342,137,-5.07,142,-2.36,2-8,0-4,1-2,1-1,8-4
2026-02-03,Southern Ind.,OVC,118,118,202,192,12-6,9-3,3-3,5-3,268,151,121,-4.13,118,-1.79,7-3,0-1,0-0,0-1,12-4
2026-02-03,UC Santa Barbara,Big West,119,119,319,228,14-5,7-4,7-1,8-3,311,216,106,-3.38,45,0.26,6-4,0-1,0-0,0-0,14-4
2026-02-03,Coastal Carolina,Sun Belt,120,121,144,174,9-12,4-7,5-5,3-6,133,108,228,-8.23,155,-2.62,4-6,0-2,0-2,0-4,9-4
2026-02-03,Portland,WCC,121,120,125,168,11-10,7-4,4-6,4-7,129,84,167,-6.05,200,-3.32,6-4,0-2,1-2,0-2,10-4
2026-02-03,Wake Forest,ACC,122,122,116,162,12-11,2-9,10-2,1-4,74,356,132,-4.87,106,-1.55,2-8,0-3,0-6,0-1,12-1
2026-02-03,East Carolina,American,123,123,219,195,16-7,8-2,8-5,4-3,337,334,148,-5.4,235,-4.08,8-2,0-0,0-1,0-2,16-4
2026-02-03,Purdue Fort Wayne,Horizon,124,124,243,201,14-8,9-4,5-4,3-6,224,112,144,-5.25,124,-1.89,6-4,0-2,0-0,1-1,13-5
2026-02-03,Penn,Ivy League,125,126,176,183,11-7,3-4,8-3,3-3,191,258,124,-4.41,102,-1.51,6-4,0-1,0-1,1-3,10-2
2026-02-03,Army West Point,Patriot,126,127,319,228,15-5,7-3,8-2,8-4,316,266,104,-3.35,72,-0.7,7-3,0-1,0-0,0-1,15-3
2026-02-03,Brown,Ivy League,127,128,241,200,11-7,4-3,7-4,7-6,256,344,135,-5.05,205,-3.42,6-4,0-0,0-3,0-1,11-3
2026-02-03,Idaho St.,Big Sky,128,125,216,194,13-7,7-3,6-4,6-3,286,271,139,-5.12,165,-2.73,7-3,0-0,0-1,2-1,11-5
2026-02-03,Northwestern,Big Ten,129,129,13,101,8-14,2-9,6-5,1-8,17,242,128,-4.7,206,-3.43,2-8,0-8,0-2,2-2,6-2
2026-02-03,Pepperdine,WCC,130,130,149,175,12-9,5-6,7-3,4-6,193,186,164,-5.99,93,-1.26,5-5,0-1,1-2,0-1,11-5
2026-02-03,Temple,American,131,131,67,135,10-11,4-5,6-6,2-7,81,38,155,-5.73,123,-1.86,4-6,0-5,0-1,2-1,8-4
2026-02-03,Arizona,Big 12,132,133,70,139,10-11,1-9,9-2,0-5,63,350,131,-4.85,104,-1.53,1-9,0-5,1-2,1-1,8-3
2026-02-03,UTSA,American,133,132,76,143,9-10,5-4,4-6,3-6,114,70,172,-6.15,191,-3.17,5-5,0-2,0-1,0-4,9-3
2026-02-03,Tulsa,American,134,135,193,189,15-6,7-2,8-4,5-3,213,218,102,-3.26,129,-2.12,8-2,0-1,1-0,1-3,13-2
2026-02-03,Illinois St.,MVC,135,134,185,186,13-9,7-4,6-5,2-6,194,140,159,-5.85,161,-2.68,7-3,0-2,0-0,0-4,13-3
2026-02-03,UC San Diego,Big West,136,136,298,219,14-6,10-1,4-5,7-3,297,270,122,-4.19,226,-3.85,9-1,0-1,0-0,2-0,12-5
2026-02-03,Navy,Patriot,137,137,300,220,13-6,8-1,5-5,6-3,312,255,123,-4.38,217,-3.62,8-2,0-1,1-0,0-1,12-4
2026-02-03,LMU (CA),WCC,138,138,223,196,13-8,8-3,5-5,4-5,332,358,176,-6.48,248,-4.64,8-2,0-0,0-1,3-0,10-7
2026-02-03,California Baptist,WAC,139,139,250,202,14-8,8-1,6-7,6-5,296,268,165,-6.01,273,-5.33,8-2,0-1,0-0,0-3,14-4
2026-02-03,Missouri St.,CUSA,140,140,158,178,13-8,4-1,9-7,6-3,310,301,173,-6.2,272,-5.33,6-4,0-0,0-0,1-2,12-6
2026-02-03,Grand Canyon,Mountain West,141,141,58,131,8-14,7-5,1-9,4-6,98,45,244,-9.17,290,-5.69,6-4,0-2,0-3,2-5,6-4
2026-02-03,Old Dominion,Sun Belt,142,142,87,150,12-10,5-6,7-4,2-4,106,85,150,-5.42,88,-1.07,5-5,0-3,0-1,2-3,10-3
2026-02-03,Butler,Big East,143,143,76,143,9-13,3-9,6-4,0-7,85,205,206,-7.69,144,-2.38,3-7,0-3,0-3,0-5,9-2
2026-02-03,Austin Peay,ASUN,144,144,279,212,11-7,5-5,6-2,10-0,307,222,151,-5.44,76,-0.79,5-5,0-1,0-0,0-0,11-6
2026-02-03,Sam Houston,CUSA,145,147,163,180,10-6,5-2,5-4,4-4,136,89,98,-3.14,111,-1.62,7-3,0-2,0-1,1-0,9-3
2026-02-03,Maine,America East,146,145,158,178,11-11,6-3,5-8,5-7,160,120,200,-7.51,259,-5.01,7-3,0-1,2-2,0-4,9-4
2026-02-03,UC Davis,Big West,147,146,229,197,14-6,9-2,5-4,7-4,260,198,115,-3.87,151,-2.5,8-2,0-1,0-1,0-2,14-2
2026-02-03,Middle Tenn.,CUSA,148,148,162,179,12-9,7-2,5-7,5-4,178,128,160,-5.87,241,-4.39,8-2,0-2,0-1,0-3,12-3
2026-02-03,Bradley,MVC,149,150,237,199,13-8,7-4,6-4,3-7,228,181,149,-5.4,134,-2.23,6-4,0-1,0-0,1-5,12-2
2026-02-03,FDU,NEC,150,149,359,270,17-4,10-0,7-4,9-3,333,260,86,-2.48,152,-2.51,10-0,0-1,0-1,0-0,17-2
2026-02-03,Charlotte,American,151,151,74,141,9-13,3-6,6-7,1-7,94,60,214,-7.93,189,-3.13,3-7,0-3,0-2,2-2,7-6
2026-02-03,Northern Colo.,Big Sky,152,153,209,193,13-7,7-3,6-4,6-4,265,300,133,-4.9,179,-2.95,7-3,0-1,0-1,1-1,12-4
2026-02-03,Howard,MEAC,153,152,262,207,16-7,6-1,10-6,8-7,223,182,120,-4.12,193,-3.18,8-2,0-2,0-1,2-1,14-3
2026-02-03,Hawaii,Big West,154,154,149,175,10-9,6-5,4-4,2-3,278,257,192,-7.14,177,-2.91,6-4,0-0,0-1,1-3,9-5
2026-02-03,Binghamton,America East,155,155,202,192,13-6,7-1,6-5,6-4,176,130,99,-3.15,157,-2.62,8-2,0-2,0-1,1-0,12-3
2026-02-03,Toledo,MAC,156,156,195,190,10-8,6-3,4-5,3-6,172,152,145,-5.29,196,-3.19,7-3,0-1,0-3,0-1,10-3
2026-02-03,San Francisco,WCC,157,157,101,158,12-9,6-5,6-4,4-4,198,263,166,-6.01,159,-2.65,6-4,0-0,0-3,0-6,12-0
2026-02-03,Rutgers,Big Ten,158,158,38,118,9-13,1-10,8-3,1-6,21,235,116,-3.89,99,-1.38,1-9,0-8,1-2,2-2,6-1
2026-02-03,Bryant,America East,159,159,343,243,13-7,5-4,8-3,7-4,359,363,175,-6.25,171,-2.79,6-4,0-0,0-0,0-1,13-6
2026-02-03,Tulane,American,160,161,112,161,8-12,3-5,5-7,2-4,120,103,224,-8.08,234,-4.04,4-6,0-3,0-1,0-1,8-7
2026-02-03,Drexel,CAA,161,160,289,216,12-7,6-3,6-4,5-5,341,328,158,-5.81,194,-3.18,6-4,0-0,0-1,0-2,12-4
2026-02-03,George Washington,Atlantic 10,162,162,171,182,12-11,5-6,7-5,3-6,281,294,238,-8.77,218,-3.69,4-6,0-0,0-3,0-1,12-7
2026-02-03,Houston,Big 12,163,164,17,104,7-14,1-9,6-5,1-7,54,305,194,-7.18,229,-3.89,1-9,0-4,0-4,0-4,7-2
2026-02-03,Youngstown St.,Horizon,164,163,306,223,14-7,9-4,5-3,8-4,301,219,140,-5.14,117,-1.75,7-3,0-1,0-0,1-1,13-5
2026-02-03,Jacksonville,ASUN,165,165,223,196,12-7,6-4,6-3,6-5,150,62,114,-3.84,60,-0.34,6-4,0-2,0-1,1-1,11-3
2026-02-03,UAlbany,America East,166,166,262,207,11-10,2-7,9-3,5-7,182,166,187,-6.89,74,-0.73,3-7,0-2,0-1,0-2,11-5
2026-02-03,Kent St.,MAC,167,167,96,154,7-12,4-6,3-6,3-8,108,48,222,-8.06,183,-3.04,4-6,0-2,0-1,0-5,7-4
2026-02-03,Holy Cross,Patriot,168,168,219,195,14-8,8-3,6-5,5-5,218,127,141,-5.15,154,-2.6,7-3,0-1,0-2,1-1,13-4
2026-02-03,Lamar University,Southland,169,169,300,220,12-7,10-3,2-4,4-6,289,161,143,-5.24,173,-2.84,8-2,0-0,0-2,0-2,12-3
2026-02-03,FGCU,ASUN,170,170,82,146,8-11,6-4,2-7,5-4,102,21,188,-6.97,207,-3.46,6-4,0-1,1-2,1-4,6-4
2026-02-03,Southern Miss.,Sun Belt,171,171,125,168,10-10,5-6,5-4,3-5,151,156,180,-6.69,132,-2.22,4-6,0-2,0-1,1-2,9-5
2026-02-03,Oral Roberts,Summit League,172,172,116,162,9-10,5-4,4-6,4-8,80,57,136,-5.06,181,-3.01,6-4,0-3,0-3,3-1,6-3
2026-02-03,Cleveland St.,Horizon,173,173,336,234,15-7,7-6,8-1,3-6,352,349,162,-5.89,70,-0.61,5-5,0-0,0-0,1-3,14-4
